Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,24.63,0.00,0.66,96.55,0
946684822,24.64,0.00,0.05,95.13,0
946684843,24.78,0.00,0.05,93.55,0
946684863,24.78,0.00,0.05,92.12,0
946684883,24.83,0.00,0.04,90.54,0
946684902,25.12,0.00,0.04,89.12,0
946684922,27.94,0.00,0.04,87.64,0
946684943,31.09,608.00,0.04,86.20,0
946684963,30.18,0.00,0.04,84.77,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,27.38,0.00,4.11,84.48,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,22.61,0.00,0.55,98.29,0
946684823,22.80,0.00,0.05,96.87,0
946684843,22.94,0.00,0.04,95.45,0
946684863,23.15,0.00,0.04,93.86,0
946684882,23.32,0.00,0.04,92.44,0
946684902,23.36,0.00,0.04,91.02,0
946684922,23.33,0.00,0.04,89.43,0
946684943,23.19,0.00,0.04,87.93,0
946684963,23.34,0.00,0.04,86.34,0
946684982,23.35,0.00,0.04,84.91,0
946685002,23.34,0.00,0.04,83.36,0
946685022,23.33,0.00,0.04,81.89,0
946685043,23.32,0.00,0.04,80.42,0
946685063,23.38,0.00,0.04,78.95,0
946685082,23.38,0.00,0.04,77.48,0
946685102,23.46,0.00,0.04,75.86,0
946685122,23.22,0.00,0.04,74.38,0
946685143,23.30,0.00,0.04,72.91,0
946685163,23.29,0.00,0.04,71.43,0
946685182,23.30,0.00,0.04,69.95,0
946685202,22.68,0.00,0.04,68.48,0
946685222,22.35,0.00,0.04,67.01,0
946685243,23.02,5759.00,0.04,65.42,0
946685263,23.17,5810.00,0.04,64.12,0
946685282,23.18,5967.00,0.04,62.68,0
946685302,23.08,6254.00,0.04,61.38,0
946685322,23.13,6444.00,0.04,59.79,0
946685343,23.37,6502.00,0.04,58.53,0
946685363,23.36,6462.00,0.04,56.95,0
946685383,23.30,6459.00,0.04,55.36,0
946685402,23.32,6428.00,0.04,53.78,0
946685422,23.09,6403.00,0.04,52.31,0
946685442,23.35,6410.00,0.04,50.78,0
946685463,23.49,6368.00,0.04,49.24,0
946685483,23.19,6391.00,0.04,48.09,0
946685502,23.37,6407.00,0.04,46.50,0
946685522,23.27,6434.00,0.04,45.28,0
946685542,23.18,6461.00,0.04,43.64,0
946685563,22.99,99.10,0.04,42.00,0
946685583,22.88,0.00,0.04,40.46,0
946685602,22.68,0.00,0.04,39.38,0
946685622,22.95,10700.00,0.04,37.58,0
946685642,23.14,11070.00,0.04,36.14,0
946685663,23.32,11390.00,0.04,34.70,0
946685683,23.33,11530.00,0.04,33.41,0
946685703,23.32,11570.00,0.04,31.69,0
946685722,23.32,11640.00,0.04,30.40,0
946685742,23.33,11540.00,0.04,28.68,0
946685762,23.33,11580.00,0.04,27.39,0
946685783,23.34,11460.00,0.04,25.68,0
946685803,23.34,11600.00,0.04,24.39,0
946685822,23.34,11840.00,0.04,22.67,0
946685842,23.40,11700.00,0.04,21.38,0
946685862,23.40,11910.00,0.04,19.83,0
946685883,23.40,11910.00,0.04,18.28,0
946685903,23.40,11900.00,0.04,16.73,0
946685922,23.39,11930.00,0.04,15.43,0
946685942,23.40,11930.00,0.04,13.88,0
