cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec
0,2026-07-22 14:10:25,946684882,23.11,0,0.04,90.07,0,77
0,2026-07-22 14:10:45,946684902,23.24,0,0.04,88.5,0,97
0,2026-07-22 14:11:05,946684923,23.23,0,0.04,87.06,0,118
0,2026-07-22 14:11:25,946684943,23.18,0,0.04,85.63,0,138
0,2026-07-22 14:11:45,946684963,23.32,0,0.04,84.17,0,158
0,2026-07-22 14:12:05,946684982,23.39,0,0.04,82.7,0,177
0,2026-07-22 14:12:25,946685002,23.4,0,0.04,81.07,0,197
0,2026-07-22 14:12:45,946685023,23.33,0,0.04,79.61,0,218
0,2026-07-22 14:13:05,946685043,23.18,0,0.04,78.14,0,238
0,2026-07-22 14:13:25,946685063,23.35,0,0.04,76.67,0,258
0,2026-07-22 14:13:45,946685082,23.23,0,0.04,75.2,0,277
0,2026-07-22 14:14:05,946685102,23.23,0,0.04,73.73,0,297
0,2026-07-22 14:14:25,946685123,23.39,0,0.04,72.25,0,318
0,2026-07-22 14:14:45,946685143,23.15,0,0.04,70.77,0,338
0,2026-07-22 14:15:05,946685162,23.16,0,0.04,69.46,0,357
0,2026-07-22 14:15:25,946685182,23.29,0,0.04,68.02,0,377
0,2026-07-22 14:15:45,946685182,23.29,0,0.04,68.02,0,377
12880,2026-07-22 14:16:45,946685263,22.66,17230,0.04,62.24,0,458
12880,2026-07-22 14:17:05,946685282,23.22,17270,0.04,60.74,0,477
12880,2026-07-22 14:17:25,946685302,23.3,17270,0.04,59.48,0,497
12880,2026-07-22 14:17:45,946685323,23.43,17280,0.04,57.89,0,518
12880,2026-07-22 14:18:05,946685343,23.42,17290,0.04,56.31,0,538
12880,2026-07-22 14:18:25,946685362,23.46,17290,0.04,54.73,0,557
12880,2026-07-22 14:18:45,946685382,23.3,17290,0.04,53.46,0,577
12880,2026-07-22 14:19:05,946685402,23.3,17280,0.04,51.93,0,597
12880,2026-07-22 14:19:25,946685423,23.3,17290,0.04,50.39,0,618
12880,2026-07-22 14:19:45,946685443,23.31,17290,0.04,48.86,0,638
12880,2026-07-22 14:20:05,946685462,23.31,17290,0.04,47.32,0,657
12880,2026-07-22 14:20:25,946685482,23.52,17290,0.04,46.1,0,677
12880,2026-07-22 14:20:45,946685503,23.39,17300,0.04,44.46,0,698
12880,2026-07-22 14:21:05,946685523,23.4,17320,0.04,43.23,0,718
12880,2026-07-22 14:21:25,946685543,23.51,17330,0.04,41.59,0,738
12880,2026-07-22 14:21:45,946685543,23.51,17330,0.04,41.59,0,738
12880,2026-07-22 14:22:05,946685543,23.51,17330,0.04,41.59,0,738
12880,2026-07-22 14:22:25,946685543,23.51,17330,0.04,41.59,0,738
12880,2026-07-22 14:22:45,946685543,23.51,17330,0.04,41.59,0,738
80000,2026-07-22 14:23:21,946685703,23.24,106100,0.04,30.4,0,898
80000,2026-07-22 14:23:41,946685703,23.24,106100,0.04,30.4,0,898
80000,2026-07-22 14:24:01,946685703,23.24,106100,0.04,30.4,0,898
80000,2026-07-22 14:24:21,946685703,23.24,106100,0.04,30.4,0,898
80000,2026-07-22 14:24:41,946685723,23.39,106100,0.04,28.68,0,918
80000,2026-07-22 14:25:01,946685742,23.38,106300,0.04,27.39,0,937
80000,2026-07-22 14:25:21,946685762,23.37,106300,0.04,26.11,0,957
80000,2026-07-22 14:25:41,946685783,23.36,106200,0.04,24.39,0,978
80000,2026-07-22 14:26:01,946685803,23.35,106300,0.04,23.1,0,998
80000,2026-07-22 14:26:21,946685822,23.18,106300,0.04,21.81,0,1017
80000,2026-07-22 14:26:41,946685842,23.32,106300,0.04,20.52,0,1037
80000,2026-07-22 14:27:01,946685862,23.33,106200,0.04,18.8,0,1057
80000,2026-07-22 14:27:21,946685883,23.32,106400,0.04,17.5,0,1078
80000,2026-07-22 14:27:41,946685903,23.33,106300,0.04,15.95,0,1098
80000,2026-07-22 14:28:01,946685922,23.33,106300,0.04,14.66,0,1117
80000,2026-07-22 14:28:21,946685942,23.28,106400,0.04,13.1,0,1137
80000,2026-07-22 14:28:41,946685962,23.25,104300,0.04,11.81,0,1157
80000,2026-07-22 14:28:45,946685962,23.25,104300,0.04,11.81,0,1157
