cond_uscm,datetime
0,2026-07-22 14:10:25
0,2026-07-22 14:10:45
0,2026-07-22 14:11:05
0,2026-07-22 14:11:25
0,2026-07-22 14:11:45
0,2026-07-22 14:12:05
0,2026-07-22 14:12:25
0,2026-07-22 14:12:45
0,2026-07-22 14:13:05
0,2026-07-22 14:13:25
0,2026-07-22 14:13:45
0,2026-07-22 14:14:05
0,2026-07-22 14:14:25
0,2026-07-22 14:14:45
0,2026-07-22 14:15:05
0,2026-07-22 14:15:25
0,2026-07-22 14:15:45
12880,2026-07-22 14:16:45
12880,2026-07-22 14:17:05
12880,2026-07-22 14:17:25
12880,2026-07-22 14:17:45
12880,2026-07-22 14:18:05
12880,2026-07-22 14:18:25
12880,2026-07-22 14:18:45
12880,2026-07-22 14:19:05
12880,2026-07-22 14:19:25
12880,2026-07-22 14:19:45
12880,2026-07-22 14:20:05
12880,2026-07-22 14:20:25
12880,2026-07-22 14:20:45
12880,2026-07-22 14:21:05
12880,2026-07-22 14:21:25
12880,2026-07-22 14:21:45
12880,2026-07-22 14:22:05
12880,2026-07-22 14:22:25
12880,2026-07-22 14:22:45
80000,2026-07-22 14:23:21
80000,2026-07-22 14:23:41
80000,2026-07-22 14:24:01
80000,2026-07-22 14:24:21
80000,2026-07-22 14:24:41
80000,2026-07-22 14:25:01
80000,2026-07-22 14:25:21
80000,2026-07-22 14:25:41
80000,2026-07-22 14:26:01
80000,2026-07-22 14:26:21
80000,2026-07-22 14:26:41
80000,2026-07-22 14:27:01
80000,2026-07-22 14:27:21
80000,2026-07-22 14:27:41
80000,2026-07-22 14:28:01
80000,2026-07-22 14:28:21
80000,2026-07-22 14:28:41
80000,2026-07-22 14:28:45
