Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684805,22.82,0,0.54,95.76,0,0,2026-07-22 14:09:16
946684823,23.12,0,0.05,94.34,0,18,2026-07-22 14:09:34
946684843,23.12,0,0.04,92.91,0,38,2026-07-22 14:09:54
946684863,23.11,0,0.04,91.49,0,58,2026-07-22 14:10:14
946684882,23.11,0,0.04,90.07,0,77,2026-07-22 14:10:33
946684902,23.24,0,0.04,88.5,0,97,2026-07-22 14:10:53
946684923,23.23,0,0.04,87.06,0,118,2026-07-22 14:11:14
946684943,23.18,0,0.04,85.63,0,138,2026-07-22 14:11:34
946684963,23.32,0,0.04,84.17,0,158,2026-07-22 14:11:54
946684982,23.39,0,0.04,82.7,0,177,2026-07-22 14:12:13
946685002,23.4,0,0.04,81.07,0,197,2026-07-22 14:12:33
946685023,23.33,0,0.04,79.61,0,218,2026-07-22 14:12:54
946685043,23.18,0,0.04,78.14,0,238,2026-07-22 14:13:14
946685063,23.35,0,0.04,76.67,0,258,2026-07-22 14:13:34
946685082,23.23,0,0.04,75.2,0,277,2026-07-22 14:13:53
946685102,23.23,0,0.04,73.73,0,297,2026-07-22 14:14:13
946685123,23.39,0,0.04,72.25,0,318,2026-07-22 14:14:34
946685143,23.15,0,0.04,70.77,0,338,2026-07-22 14:14:54
946685162,23.16,0,0.04,69.46,0,357,2026-07-22 14:15:13
946685182,23.29,0,0.04,68.02,0,377,2026-07-22 14:15:33
946685263,22.66,17230,0.04,62.24,0,458,2026-07-22 14:16:54
946685282,23.22,17270,0.04,60.74,0,477,2026-07-22 14:17:13
946685302,23.3,17270,0.04,59.48,0,497,2026-07-22 14:17:33
946685323,23.43,17280,0.04,57.89,0,518,2026-07-22 14:17:54
946685343,23.42,17290,0.04,56.31,0,538,2026-07-22 14:18:14
946685362,23.46,17290,0.04,54.73,0,557,2026-07-22 14:18:33
946685382,23.3,17290,0.04,53.46,0,577,2026-07-22 14:18:53
946685402,23.3,17280,0.04,51.93,0,597,2026-07-22 14:19:13
946685423,23.3,17290,0.04,50.39,0,618,2026-07-22 14:19:34
946685443,23.31,17290,0.04,48.86,0,638,2026-07-22 14:19:54
946685462,23.31,17290,0.04,47.32,0,657,2026-07-22 14:20:13
946685482,23.52,17290,0.04,46.1,0,677,2026-07-22 14:20:33
946685503,23.39,17300,0.04,44.46,0,698,2026-07-22 14:20:54
946685523,23.4,17320,0.04,43.23,0,718,2026-07-22 14:21:14
946685543,23.51,17330,0.04,41.59,0,738,2026-07-22 14:21:34
946685703,23.24,106100,0.04,30.4,0,898,2026-07-22 14:24:14
946685723,23.39,106100,0.04,28.68,0,918,2026-07-22 14:24:34
946685742,23.38,106300,0.04,27.39,0,937,2026-07-22 14:24:53
946685762,23.37,106300,0.04,26.11,0,957,2026-07-22 14:25:13
946685783,23.36,106200,0.04,24.39,0,978,2026-07-22 14:25:34
946685803,23.35,106300,0.04,23.1,0,998,2026-07-22 14:25:54
946685822,23.18,106300,0.04,21.81,0,1017,2026-07-22 14:26:13
946685842,23.32,106300,0.04,20.52,0,1037,2026-07-22 14:26:33
946685862,23.33,106200,0.04,18.8,0,1057,2026-07-22 14:26:53
946685883,23.32,106400,0.04,17.5,0,1078,2026-07-22 14:27:14
946685903,23.33,106300,0.04,15.95,0,1098,2026-07-22 14:27:34
946685922,23.33,106300,0.04,14.66,0,1117,2026-07-22 14:27:53
946685942,23.28,106400,0.04,13.1,0,1137,2026-07-22 14:28:13
946685962,23.25,104300,0.04,11.81,0,1157,2026-07-22 14:28:33
