Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,24.65,0.00,0.61,94.81,0
946684823,24.50,0.00,0.05,93.55,0
946684843,24.49,0.00,0.04,91.96,0
946684863,24.50,0.00,0.04,90.38,0
946684882,24.52,0.00,0.04,88.96,0
946684902,26.28,0.00,0.04,87.49,0
946684923,29.03,0.00,0.04,86.06,0
946684943,28.61,0.00,0.04,84.48,0
946684962,28.27,0.00,0.04,83.03,0
946684982,27.97,0.00,0.04,81.40,0
946685002,27.56,0.00,0.04,79.93,0
946685023,27.40,0.00,0.04,78.46,0
946685043,27.15,0.00,0.04,77.00,0
946685062,26.70,0.00,0.04,75.37,0
946685082,30.15,0.00,0.04,73.89,0
946685103,33.54,330.80,0.04,72.41,0
946685123,32.45,0.00,0.04,70.94,0
946685143,28.61,0.00,0.04,69.46,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684806,0.00,0.00,4.08,86.78,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,23.91,0.00,4.08,86.78,0
946684822,23.81,0.00,4.08,86.78,0
946684843,23.65,0.00,4.08,86.49,0
946684863,23.61,0.00,4.08,86.49,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,23.62,0.00,4.11,86.49,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,22.82,0.00,0.54,95.76,0
946684823,23.12,0.00,0.05,94.34,0
946684843,23.12,0.00,0.04,92.91,0
946684863,23.11,0.00,0.04,91.49,0
946684882,23.11,0.00,0.04,90.07,0
946684902,23.24,0.00,0.04,88.50,0
946684923,23.23,0.00,0.04,87.06,0
946684943,23.18,0.00,0.04,85.63,0
946684963,23.32,0.00,0.04,84.17,0
946684982,23.39,0.00,0.04,82.70,0
946685002,23.40,0.00,0.04,81.07,0
946685023,23.33,0.00,0.04,79.61,0
946685043,23.18,0.00,0.04,78.14,0
946685063,23.35,0.00,0.04,76.67,0
946685082,23.23,0.00,0.04,75.20,0
946685102,23.23,0.00,0.04,73.73,0
946685123,23.39,0.00,0.04,72.25,0
946685143,23.15,0.00,0.04,70.77,0
946685162,23.16,0.00,0.04,69.46,0
946685182,23.29,0.00,0.04,68.02,0
946685202,22.90,0.00,0.04,66.58,0
946685223,22.04,0.00,0.04,65.13,0
946685243,21.87,0.00,0.04,63.69,0
946685263,22.66,17230.00,0.04,62.24,0
946685282,23.22,17270.00,0.04,60.74,0
946685302,23.30,17270.00,0.04,59.48,0
946685323,23.43,17280.00,0.04,57.89,0
946685343,23.42,17290.00,0.04,56.31,0
946685362,23.46,17290.00,0.04,54.73,0
946685382,23.30,17290.00,0.04,53.46,0
946685402,23.30,17280.00,0.04,51.93,0
946685423,23.30,17290.00,0.04,50.39,0
946685443,23.31,17290.00,0.04,48.86,0
946685462,23.31,17290.00,0.04,47.32,0
946685482,23.52,17290.00,0.04,46.10,0
946685503,23.39,17300.00,0.04,44.46,0
946685523,23.40,17320.00,0.04,43.23,0
946685543,23.51,17330.00,0.04,41.59,0
946685562,23.16,219.70,0.04,40.11,0
946685582,22.96,0.00,0.04,38.66,0
946685603,22.38,0.00,0.04,37.22,0
946685623,22.38,0.00,0.04,36.14,0
946685642,22.52,0.00,0.04,34.70,0
946685662,23.01,105100.00,0.04,32.98,0
946685682,23.43,106100.00,0.04,31.69,0
946685703,23.24,106100.00,0.04,30.40,0
946685723,23.39,106100.00,0.04,28.68,0
946685742,23.38,106300.00,0.04,27.39,0
946685762,23.37,106300.00,0.04,26.11,0
946685783,23.36,106200.00,0.04,24.39,0
946685803,23.35,106300.00,0.04,23.10,0
946685822,23.18,106300.00,0.04,21.81,0
946685842,23.32,106300.00,0.04,20.52,0
946685862,23.33,106200.00,0.04,18.80,0
946685883,23.32,106400.00,0.04,17.50,0
946685903,23.33,106300.00,0.04,15.95,0
946685922,23.33,106300.00,0.04,14.66,0
946685942,23.28,106400.00,0.04,13.10,0
946685962,23.25,104300.00,0.04,11.81,0
946685983,22.89,8284.00,0.04,10.52,0
946686003,22.61,0.00,0.04,8.96,0
946686022,22.29,0.00,0.04,7.47,0
946686042,22.35,0.00,0.04,6.12,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684806,0.00,0.00,4.08,86.20,0
946684822,0.00,0.00,4.08,86.20,0
946684843,0.00,0.00,4.08,86.20,0
946684863,0.00,0.00,4.08,86.20,0
946684883,0.00,0.00,4.08,86.20,0
946684903,0.00,0.00,4.08,86.20,0
946684923,0.00,0.00,4.08,86.20,0
946684943,0.00,0.00,4.08,86.20,0
946684963,0.00,0.00,4.08,86.20,0
946684983,0.00,0.00,4.08,86.20,0
946685003,0.00,0.00,4.08,86.20,0
946685023,0.00,0.00,4.08,86.20,0
946685043,0.00,0.00,4.08,86.20,0
946685063,0.00,0.00,4.08,86.20,0
946685083,0.00,0.00,4.08,86.20,0
946685103,0.00,0.00,4.08,86.20,0
946685123,0.00,0.00,4.08,86.20,0
946685143,0.00,0.00,4.08,86.20,0
946685163,0.00,0.00,4.08,86.20,0
946685183,0.00,0.00,4.08,86.20,0
946685202,0.00,0.00,4.08,86.20,0
946685223,0.00,0.00,4.08,86.20,0
946685243,0.00,0.00,4.08,86.20,0
946685263,0.00,0.00,4.08,86.20,0
946685283,0.00,0.00,4.08,86.20,0
946685302,0.00,0.00,4.08,86.20,0
946685323,0.00,0.00,4.08,86.20,0
946685343,0.00,0.00,4.08,86.20,0
946685363,0.00,0.00,4.08,86.20,0
946685383,0.00,0.00,4.08,86.20,0
946685402,0.00,0.00,4.08,86.20,0
946685423,0.00,0.00,4.08,86.20,0
946685443,0.00,0.00,4.08,86.20,0
946685463,0.00,0.00,4.08,86.20,0
946685483,0.00,0.00,4.08,86.20,0
946685503,0.00,0.00,4.08,86.20,0
946685523,0.00,0.00,4.08,86.20,0
946685543,0.00,0.00,4.08,86.20,0
946685563,0.00,0.00,4.08,86.20,0
946685583,0.00,0.00,4.08,86.20,0
946685603,0.00,0.00,4.08,86.20,0
946685623,0.00,0.00,4.08,86.20,0
946685642,0.00,0.00,4.08,86.20,0
946685663,0.00,0.00,4.08,86.20,0
946685683,0.00,0.00,4.08,86.20,0
946685703,0.00,0.00,4.08,86.20,0
946685723,0.00,0.00,4.08,86.20,0
946685742,0.00,0.00,4.08,86.20,0
946685763,0.00,0.00,4.08,86.20,0
946685783,0.00,0.00,4.08,86.20,0
946685803,0.00,0.00,4.08,86.20,0
946685823,0.00,0.00,4.08,86.20,0
946685842,0.00,0.00,4.08,86.20,0
946685863,0.00,0.00,4.08,86.20,0
946685883,0.00,0.00,4.08,86.20,0
946685903,0.00,0.00,4.08,86.20,0
946685923,0.00,0.00,4.08,86.20,0
946685943,0.00,0.00,4.08,86.20,0
946685963,0.00,0.00,4.08,86.20,0
946685982,0.00,0.00,4.08,86.20,0
946686003,0.00,0.00,4.08,86.20,0
946686023,0.00,0.00,4.08,86.20,0
946686043,0.00,0.00,4.08,86.20,0
946686063,0.00,0.00,4.08,86.20,0
946686082,0.00,0.00,4.08,86.20,0
946686103,0.00,0.00,4.08,86.20,0
946686123,0.00,0.00,4.08,86.20,0
946686143,0.00,0.00,4.08,86.20,0
946686163,0.00,0.00,4.08,86.20,0
946686183,0.00,0.00,4.08,86.20,0
946686203,0.00,0.00,4.08,86.20,0
946686222,0.00,0.00,4.08,86.20,0
946686243,0.00,0.00,4.08,86.20,0
946686263,0.00,0.00,4.08,86.20,0
946686283,0.00,0.00,4.08,86.20,0
946686303,0.00,0.00,4.08,86.20,0
946686322,0.00,0.00,4.08,86.20,0
946686343,0.00,0.00,4.08,86.20,0
946686363,0.00,0.00,4.08,86.20,0
946686383,0.00,0.00,4.08,86.34,0
946686403,0.00,0.00,4.08,86.34,0
946686422,0.00,0.00,4.08,86.34,0
946686443,0.00,0.00,4.08,86.34,0
946686463,0.00,0.00,4.08,86.34,0
946686483,0.00,0.00,4.08,86.34,0
946686503,0.00,0.00,4.08,86.34,0
946686523,0.00,0.00,4.08,86.34,0
946686543,0.00,0.00,4.08,86.34,0
946686562,0.00,0.00,4.08,86.34,0
946686583,0.00,0.00,4.08,86.34,0
946686603,0.00,0.00,4.08,86.34,0
946686623,0.00,0.00,4.08,86.34,0
946686643,0.00,0.00,4.08,86.34,0
946686662,0.00,0.00,4.08,86.34,0
946686683,0.00,0.00,4.08,86.34,0
946686703,0.00,0.00,4.08,86.34,0
