Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684805,23.28,0,0.58,95.76,0,0,2026-07-22 14:33:49
946684823,23.45,0,0.05,94.5,0,18,2026-07-22 14:34:07
946684843,23.47,0,0.04,93.07,0,38,2026-07-22 14:34:27
946684863,23.54,0,0.04,91.49,0,58,2026-07-22 14:34:47
946684882,23.67,0,0.04,89.91,0,77,2026-07-22 14:35:06
946684902,23.49,0,0.04,88.5,0,97,2026-07-22 14:35:26
946684923,23.53,0,0.04,86.92,0,118,2026-07-22 14:35:47
946684943,23.74,0,0.04,85.48,0,138,2026-07-22 14:36:07
946684962,23.83,0,0.04,84.01,0,157,2026-07-22 14:36:26
946684982,23.82,0,0.04,82.38,0,177,2026-07-22 14:36:46
946685002,23.73,0,0.04,80.91,0,197,2026-07-22 14:37:06
946685023,23.73,0,0.04,79.28,0,218,2026-07-22 14:37:27
946685043,23.74,0,0.04,77.65,0,238,2026-07-22 14:37:47
946685062,23.74,0,0.04,76.18,0,257,2026-07-22 14:38:06
946685082,23.75,0,0.04,74.71,0,277,2026-07-22 14:38:26
946685102,23.85,0,0.04,73.23,0,297,2026-07-22 14:38:46
946685123,23.7,0,0.04,71.76,0,318,2026-07-22 14:39:07
946685143,23.99,0,0.04,70.28,0,338,2026-07-22 14:39:27
946685162,23.81,0,0.04,68.97,0,357,2026-07-22 14:39:46
946685182,23.94,0,0.04,67.45,0,377,2026-07-22 14:40:06
946685202,23.8,0,0.05,66.14,0,397,2026-07-22 14:40:26
946685223,24.01,0,0.04,64.7,0,418,2026-07-22 14:40:47
946685243,23.7,0,0.04,63.4,0,438,2026-07-22 14:41:07
946685262,23.92,0,0.04,61.95,0,457,2026-07-22 14:41:26
946685282,23.77,0,0.04,60.74,0,477,2026-07-22 14:41:46
946685302,23.91,0,0.04,59.16,0,497,2026-07-22 14:42:06
946685362,23.22,15750,0.04,54.73,0,557,2026-07-22 14:43:06
946685382,23.52,15790,0.04,53.46,0,577,2026-07-22 14:43:26
946685402,23.82,15800,0.04,51.93,0,597,2026-07-22 14:43:46
946685422,23.68,15810,0.04,50.39,0,617,2026-07-22 14:44:06
946685443,23.82,15810,0.04,49.24,0,638,2026-07-22 14:44:27
946685463,23.86,15820,0.04,47.71,0,658,2026-07-22 14:44:47
946685482,23.7,15820,0.04,46.1,0,677,2026-07-22 14:45:06
946685502,23.75,15820,0.04,44.87,0,697,2026-07-22 14:45:26
946685522,23.92,15820,0.04,43.23,0,717,2026-07-22 14:45:46
946685543,23.77,15830,0.04,42,0,738,2026-07-22 14:46:07
946685563,23.76,15830,0.04,40.46,0,758,2026-07-22 14:46:27
946685582,23.8,15820,0.04,39.02,0,777,2026-07-22 14:46:46
946685602,23.9,15830,0.04,37.58,0,797,2026-07-22 14:47:06
946685622,23.75,15830,0.04,36.14,0,817,2026-07-22 14:47:26
946685642,23.75,15830,0.04,35.06,0,837,2026-07-22 14:47:46
946685663,23.8,15840,0.04,33.41,0,858,2026-07-22 14:48:07
946685763,23.63,58800,0.04,26.54,0,958,2026-07-22 14:49:47
946685783,23.65,58840,0.04,24.82,0,978,2026-07-22 14:50:07
946685802,23.83,58900,0.04,23.53,0,997,2026-07-22 14:50:26
946685822,23.82,58940,0.04,22.24,0,1017,2026-07-22 14:50:46
946685842,23.67,58890,0.04,20.52,0,1037,2026-07-22 14:51:06
946685863,23.81,58940,0.04,19.05,0,1058,2026-07-22 14:51:27
946685883,23.64,58960,0.04,17.76,0,1078,2026-07-22 14:51:47
946685902,23.86,58980,0.04,16.21,0,1097,2026-07-22 14:52:06
946685922,23.73,58940,0.04,14.66,0,1117,2026-07-22 14:52:26
946685942,23.73,58960,0.04,13.36,0,1137,2026-07-22 14:52:46
946685963,23.67,59020,0.04,12.07,0,1158,2026-07-22 14:53:07
946685983,23.84,58930,0.04,10.52,0,1178,2026-07-22 14:53:27
946686002,23.75,58950,0.04,9.22,0,1197,2026-07-22 14:53:46
946686022,23.89,59000,0.04,7.84,0,1217,2026-07-22 14:54:06
946686042,23.68,59040,0.04,6.49,0,1237,2026-07-22 14:54:26
