cond_uscm,datetime
0,2026-07-22 14:37:00
0,2026-07-22 14:37:20
0,2026-07-22 14:37:40
0,2026-07-22 14:38:00
0,2026-07-22 14:38:20
0,2026-07-22 14:38:40
0,2026-07-22 14:39:00
0,2026-07-22 14:39:20
0,2026-07-22 14:39:40
0,2026-07-22 14:40:00
0,2026-07-22 14:40:20
0,2026-07-22 14:40:40
0,2026-07-22 14:41:00
0,2026-07-22 14:41:20
0,2026-07-22 14:41:40
0,2026-07-22 14:42:00
0,2026-07-22 14:42:15
12880,2026-07-22 14:43:00
12880,2026-07-22 14:43:20
12880,2026-07-22 14:43:40
12880,2026-07-22 14:44:00
12880,2026-07-22 14:44:20
12880,2026-07-22 14:44:40
12880,2026-07-22 14:45:00
12880,2026-07-22 14:45:20
12880,2026-07-22 14:45:40
12880,2026-07-22 14:46:00
12880,2026-07-22 14:46:20
12880,2026-07-22 14:46:40
12880,2026-07-22 14:47:00
12880,2026-07-22 14:47:20
12880,2026-07-22 14:47:40
12880,2026-07-22 14:48:00
12880,2026-07-22 14:48:15
80000,2026-07-22 14:49:30
80000,2026-07-22 14:49:50
80000,2026-07-22 14:50:10
80000,2026-07-22 14:50:30
80000,2026-07-22 14:50:50
80000,2026-07-22 14:51:10
80000,2026-07-22 14:51:30
80000,2026-07-22 14:51:50
80000,2026-07-22 14:52:10
80000,2026-07-22 14:52:30
80000,2026-07-22 14:52:50
80000,2026-07-22 14:53:10
80000,2026-07-22 14:53:30
80000,2026-07-22 14:53:50
80000,2026-07-22 14:54:10
80000,2026-07-22 14:54:30
80000,2026-07-22 14:54:40
