cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec
0,2026-07-22 14:37:00,946685002,23.73,0,0.04,80.91,0,197
0,2026-07-22 14:37:20,946685023,23.73,0,0.04,79.28,0,218
0,2026-07-22 14:37:40,946685043,23.74,0,0.04,77.65,0,238
0,2026-07-22 14:38:00,946685062,23.74,0,0.04,76.18,0,257
0,2026-07-22 14:38:20,946685082,23.75,0,0.04,74.71,0,277
0,2026-07-22 14:38:40,946685102,23.85,0,0.04,73.23,0,297
0,2026-07-22 14:39:00,946685123,23.7,0,0.04,71.76,0,318
0,2026-07-22 14:39:20,946685143,23.99,0,0.04,70.28,0,338
0,2026-07-22 14:39:40,946685162,23.81,0,0.04,68.97,0,357
0,2026-07-22 14:40:00,946685182,23.94,0,0.04,67.45,0,377
0,2026-07-22 14:40:20,946685202,23.8,0,0.05,66.14,0,397
0,2026-07-22 14:40:40,946685223,24.01,0,0.04,64.7,0,418
0,2026-07-22 14:41:00,946685243,23.7,0,0.04,63.4,0,438
0,2026-07-22 14:41:20,946685262,23.92,0,0.04,61.95,0,457
0,2026-07-22 14:41:40,946685282,23.77,0,0.04,60.74,0,477
0,2026-07-22 14:42:00,946685302,23.91,0,0.04,59.16,0,497
0,2026-07-22 14:42:15,946685302,23.91,0,0.04,59.16,0,497
12880,2026-07-22 14:43:00,946685362,23.22,15750,0.04,54.73,0,557
12880,2026-07-22 14:43:20,946685382,23.52,15790,0.04,53.46,0,577
12880,2026-07-22 14:43:40,946685402,23.82,15800,0.04,51.93,0,597
12880,2026-07-22 14:44:00,946685422,23.68,15810,0.04,50.39,0,617
12880,2026-07-22 14:44:20,946685443,23.82,15810,0.04,49.24,0,638
12880,2026-07-22 14:44:40,946685463,23.86,15820,0.04,47.71,0,658
12880,2026-07-22 14:45:00,946685482,23.7,15820,0.04,46.1,0,677
12880,2026-07-22 14:45:20,946685502,23.75,15820,0.04,44.87,0,697
12880,2026-07-22 14:45:40,946685522,23.92,15820,0.04,43.23,0,717
12880,2026-07-22 14:46:00,946685543,23.77,15830,0.04,42.0,0,738
12880,2026-07-22 14:46:20,946685563,23.76,15830,0.04,40.46,0,758
12880,2026-07-22 14:46:40,946685582,23.8,15820,0.04,39.02,0,777
12880,2026-07-22 14:47:00,946685602,23.9,15830,0.04,37.58,0,797
12880,2026-07-22 14:47:20,946685622,23.75,15830,0.04,36.14,0,817
12880,2026-07-22 14:47:40,946685642,23.75,15830,0.04,35.06,0,837
12880,2026-07-22 14:48:00,946685663,23.8,15840,0.04,33.41,0,858
12880,2026-07-22 14:48:15,946685663,23.8,15840,0.04,33.41,0,858
80000,2026-07-22 14:49:30,946685763,23.63,58800,0.04,26.54,0,958
80000,2026-07-22 14:49:50,946685763,23.63,58800,0.04,26.54,0,958
80000,2026-07-22 14:50:10,946685783,23.65,58840,0.04,24.82,0,978
80000,2026-07-22 14:50:30,946685802,23.83,58900,0.04,23.53,0,997
80000,2026-07-22 14:50:50,946685822,23.82,58940,0.04,22.24,0,1017
80000,2026-07-22 14:51:10,946685842,23.67,58890,0.04,20.52,0,1037
80000,2026-07-22 14:51:30,946685863,23.81,58940,0.04,19.05,0,1058
80000,2026-07-22 14:51:50,946685883,23.64,58960,0.04,17.76,0,1078
80000,2026-07-22 14:52:10,946685902,23.86,58980,0.04,16.21,0,1097
80000,2026-07-22 14:52:30,946685922,23.73,58940,0.04,14.66,0,1117
80000,2026-07-22 14:52:50,946685942,23.73,58960,0.04,13.36,0,1137
80000,2026-07-22 14:53:10,946685963,23.67,59020,0.04,12.07,0,1158
80000,2026-07-22 14:53:30,946685983,23.84,58930,0.04,10.52,0,1178
80000,2026-07-22 14:53:50,946686002,23.75,58950,0.04,9.22,0,1197
80000,2026-07-22 14:54:10,946686022,23.89,59000,0.04,7.84,0,1217
80000,2026-07-22 14:54:30,946686042,23.68,59040,0.04,6.49,0,1237
80000,2026-07-22 14:54:40,946686042,23.68,59040,0.04,6.49,0,1237
