cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec
0,2025-12-22 11:45:14,946684842,24.66,0,3.94,57.26,0,36
0,2025-12-22 11:45:34,946684862,24.82,0,3.95,57.26,0,56
0,2025-12-22 11:45:54,946684882,24.57,0,3.95,57.26,0,76
0,2025-12-22 11:46:14,946684903,24.61,0,3.95,57.26,0,97
0,2025-12-22 11:46:34,946684923,24.63,0,3.95,57.26,0,117
0,2025-12-22 11:46:54,946684942,24.62,0,3.95,57.26,0,136
0,2025-12-22 11:47:14,946684962,24.6,0,3.96,57.26,0,156
0,2025-12-22 11:47:34,946684982,24.47,0,3.96,57.26,0,176
0,2025-12-22 11:47:54,946685003,24.47,0,3.96,57.58,0,197
0,2025-12-22 11:48:14,946685023,24.33,0,3.96,57.58,0,217
0,2025-12-22 11:48:34,946685043,24.34,0,3.96,57.58,0,237
0,2025-12-22 11:48:54,946685062,24.35,0,3.96,57.58,0,256
0,2025-12-22 11:49:14,946685082,24.5,0,3.96,57.58,0,276
0,2025-12-22 11:49:34,946685103,24.86,0,3.96,57.58,0,297
0,2025-12-22 11:49:54,946685123,25.24,0,3.96,57.58,0,317
0,2025-12-22 11:50:14,946685143,25.39,0,3.96,57.58,0,337
0,2025-12-22 11:50:34,946685163,25.36,0,3.97,57.89,0,357
0,2025-12-22 11:50:49,946685163,25.36,0,3.97,57.89,0,357
12880,2025-12-22 11:51:29,946685223,23.25,13950,3.97,57.89,0,417
12880,2025-12-22 11:51:49,946685223,23.25,13950,3.97,57.89,0,417
12880,2025-12-22 11:52:09,946685243,23.42,13990,3.97,57.89,0,437
12880,2025-12-22 11:52:29,946685263,23.51,13990,3.97,57.89,0,457
12880,2025-12-22 11:52:49,946685282,23.6,13980,3.97,57.89,0,476
12880,2025-12-22 11:53:09,946685302,23.59,13980,3.97,58.21,0,496
12880,2025-12-22 11:53:29,946685322,23.67,13980,3.97,58.21,0,516
12880,2025-12-22 11:53:49,946685343,23.68,13980,3.97,58.21,0,537
12880,2025-12-22 11:54:09,946685363,23.5,13990,3.98,58.21,0,557
12880,2025-12-22 11:54:29,946685382,23.74,13990,3.98,58.21,0,576
12880,2025-12-22 11:54:49,946685402,23.7,13990,3.98,58.21,0,596
12880,2025-12-22 11:55:09,946685422,23.56,14000,3.98,58.21,0,616
12880,2025-12-22 11:55:29,946685442,23.75,14000,3.98,58.53,0,636
12880,2025-12-22 11:55:49,946685463,23.55,14000,3.98,58.53,0,657
12880,2025-12-22 11:56:09,946685483,23.51,14000,3.98,58.53,0,677
12880,2025-12-22 11:56:29,946685503,23.68,14010,3.98,58.53,0,697
12880,2025-12-22 11:56:49,946685522,23.67,14010,3.98,58.53,0,716
12880,2025-12-22 11:57:03,946685542,24.29,12890,3.98,58.53,0,736
80000,2025-12-22 11:57:49,946685603,24.72,74700,3.99,58.84,0,797
80000,2025-12-22 11:58:09,946685603,24.72,74700,3.99,58.84,0,797
80000,2025-12-22 11:58:29,946685622,24.04,75620,3.99,58.84,0,816
80000,2025-12-22 11:58:49,946685642,24.17,75680,3.99,58.84,0,836
80000,2025-12-22 11:59:09,946685662,24.09,75800,3.99,58.84,0,856
80000,2025-12-22 11:59:29,946685683,24.09,75980,3.99,58.84,0,877
80000,2025-12-22 11:59:49,946685703,23.92,75990,3.99,58.84,0,897
80000,2025-12-22 12:00:09,946685722,24.14,76090,3.99,59.16,0,916
80000,2025-12-22 12:00:29,946685742,23.98,76000,3.99,59.16,0,936
80000,2025-12-22 12:00:49,946685762,24.03,76210,3.99,59.16,0,956
80000,2025-12-22 12:01:09,946685783,24.01,76280,3.99,59.16,0,977
80000,2025-12-22 12:01:29,946685803,24.01,76260,3.99,59.16,0,997
80000,2025-12-22 12:01:49,946685823,24.02,76310,3.99,59.16,0,1017
80000,2025-12-22 12:02:09,946685842,24.05,76330,3.99,59.48,0,1036
80000,2025-12-22 12:02:29,946685862,24.04,76430,3.99,59.48,0,1056
80000,2025-12-22 12:02:49,946685882,24.02,76380,4.0,59.48,0,1076
80000,2025-12-22 12:03:09,946685902,24.16,76400,4.0,59.48,0,1096
80000,2025-12-22 12:03:29,946685923,24.0,76320,4.0,59.48,0,1117
80000,2025-12-22 12:03:49,946685943,24.12,76450,4.0,59.48,0,1137
