cond_uscm,datetime
0,2025-12-22 11:45:14
0,2025-12-22 11:45:34
0,2025-12-22 11:45:54
0,2025-12-22 11:46:14
0,2025-12-22 11:46:34
0,2025-12-22 11:46:54
0,2025-12-22 11:47:14
0,2025-12-22 11:47:34
0,2025-12-22 11:47:54
0,2025-12-22 11:48:14
0,2025-12-22 11:48:34
0,2025-12-22 11:48:54
0,2025-12-22 11:49:14
0,2025-12-22 11:49:34
0,2025-12-22 11:49:54
0,2025-12-22 11:50:14
0,2025-12-22 11:50:34
0,2025-12-22 11:50:49
12880,2025-12-22 11:51:29
12880,2025-12-22 11:51:49
12880,2025-12-22 11:52:09
12880,2025-12-22 11:52:29
12880,2025-12-22 11:52:49
12880,2025-12-22 11:53:09
12880,2025-12-22 11:53:29
12880,2025-12-22 11:53:49
12880,2025-12-22 11:54:09
12880,2025-12-22 11:54:29
12880,2025-12-22 11:54:49
12880,2025-12-22 11:55:09
12880,2025-12-22 11:55:29
12880,2025-12-22 11:55:49
12880,2025-12-22 11:56:09
12880,2025-12-22 11:56:29
12880,2025-12-22 11:56:49
12880,2025-12-22 11:57:03
80000,2025-12-22 11:57:49
80000,2025-12-22 11:58:09
80000,2025-12-22 11:58:29
80000,2025-12-22 11:58:49
80000,2025-12-22 11:59:09
80000,2025-12-22 11:59:29
80000,2025-12-22 11:59:49
80000,2025-12-22 12:00:09
80000,2025-12-22 12:00:29
80000,2025-12-22 12:00:49
80000,2025-12-22 12:01:09
80000,2025-12-22 12:01:29
80000,2025-12-22 12:01:49
80000,2025-12-22 12:02:09
80000,2025-12-22 12:02:29
80000,2025-12-22 12:02:49
80000,2025-12-22 12:03:09
80000,2025-12-22 12:03:29
80000,2025-12-22 12:03:49
