Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684806,0,0,3.86,57.26,0,0,2025-12-22 11:21:46
946684823,0,0,3.86,57.26,0,17,2025-12-22 11:22:03
946684842,22.28,0,3.94,57.26,0,36,2025-12-22 11:22:22
946684863,22.4,0,3.95,57.26,0,57,2025-12-22 11:22:43
946684883,22.1,0,3.95,57.26,0,77,2025-12-22 11:23:03
946684903,21.98,0,3.95,57.26,0,97,2025-12-22 11:23:23
946684922,21.98,0,3.96,57.26,0,116,2025-12-22 11:23:42
946684942,21.99,0,3.96,57.26,0,136,2025-12-22 11:24:02
946684962,21.99,0,3.96,57.26,0,156,2025-12-22 11:24:22
946684983,21.98,0,3.96,57.26,0,177,2025-12-22 11:24:43
946685003,21.98,0,3.96,57.26,0,197,2025-12-22 11:25:03
946685022,21.98,0,3.96,57.58,0,216,2025-12-22 11:25:22
946685042,22.06,0,3.96,57.58,0,236,2025-12-22 11:25:42
946685062,21.83,0,3.97,57.58,0,256,2025-12-22 11:26:02
946685083,22.03,0,3.97,57.58,0,277,2025-12-22 11:26:23
946685103,21.89,0,3.97,57.58,0,297,2025-12-22 11:26:43
946685123,22.04,0,3.97,57.58,0,317,2025-12-22 11:27:03
946685142,21.83,0,3.97,57.58,0,336,2025-12-22 11:27:22
946685162,21.85,0,3.97,57.89,0,356,2025-12-22 11:27:42
946685182,21.86,0,3.97,57.89,0,376,2025-12-22 11:28:02
946685203,21.79,0,3.97,57.89,0,397,2025-12-22 11:28:23
946685223,21.47,0,3.97,57.89,0,417,2025-12-22 11:28:43
946685262,21.58,14020,3.98,57.89,0,456,2025-12-22 11:29:22
946685282,21.71,14040,3.98,57.89,0,476,2025-12-22 11:29:42
946685302,21.7,14050,3.98,58.21,0,496,2025-12-22 11:30:02
946685323,21.68,14040,3.98,58.21,0,517,2025-12-22 11:30:23
946685343,21.69,14040,3.98,58.21,0,537,2025-12-22 11:30:43
946685362,21.69,14040,3.98,58.21,0,556,2025-12-22 11:31:02
946685382,21.7,14040,3.98,58.21,0,576,2025-12-22 11:31:22
946685402,21.64,14040,3.98,58.21,0,596,2025-12-22 11:31:42
946685423,21.65,14040,3.98,58.21,0,617,2025-12-22 11:32:03
946685443,21.63,14040,3.98,58.53,0,637,2025-12-22 11:32:23
946685463,21.65,14030,3.98,58.53,0,657,2025-12-22 11:32:43
946685482,21.66,14040,3.99,58.53,0,676,2025-12-22 11:33:02
946685502,21.66,14040,3.99,58.53,0,696,2025-12-22 11:33:22
946685522,21.75,14040,3.99,58.53,0,716,2025-12-22 11:33:42
946685543,21.75,14040,3.99,58.53,0,737,2025-12-22 11:34:03
946685563,21.74,14040,3.99,58.53,0,757,2025-12-22 11:34:23
946685582,21.75,14040,3.99,58.84,0,776,2025-12-22 11:34:42
946685643,21.8,75650,3.99,58.84,0,837,2025-12-22 11:35:43
946685663,21.65,76050,3.99,58.84,0,857,2025-12-22 11:36:03
946685683,21.66,76240,3.99,58.84,0,877,2025-12-22 11:36:23
946685702,21.65,76220,3.99,59.16,0,896,2025-12-22 11:36:42
946685722,21.66,76320,4,59.16,0,916,2025-12-22 11:37:02
946685742,21.81,76400,4,59.16,0,936,2025-12-22 11:37:22
946685763,21.67,76470,4,59.16,0,957,2025-12-22 11:37:43
946685783,21.67,76520,4,59.16,0,977,2025-12-22 11:38:03
946685802,21.79,76600,4,59.16,0,996,2025-12-22 11:38:22
946685822,21.77,76690,4,59.48,0,1016,2025-12-22 11:38:42
946685842,21.76,76840,4,59.48,0,1036,2025-12-22 11:39:02
946685863,21.75,76890,4,59.48,0,1057,2025-12-22 11:39:23
946685883,21.74,76910,4,59.48,0,1077,2025-12-22 11:39:43
946685903,21.73,76940,4,59.48,0,1097,2025-12-22 11:40:03
946685922,21.91,77040,4,59.48,0,1116,2025-12-22 11:40:22
946685942,21.68,77110,4,59.79,0,1136,2025-12-22 11:40:42
946685962,21.68,77160,4,59.79,0,1156,2025-12-22 11:41:02
946685983,21.69,77250,4.01,59.79,0,1177,2025-12-22 11:41:23
