Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946685563,23.22,0.00,0.05,44.05,0
946685582,23.22,0.00,0.05,42.41,0
946685602,23.22,0.00,0.05,41.19,0
946685623,23.22,0.00,0.05,39.75,0
946685643,23.21,0.00,0.05,38.30,0
946685663,22.88,0.00,0.05,36.86,0
946685682,22.60,0.00,0.05,35.42,0
946685702,22.61,0.00,0.05,33.84,0
946685723,22.88,13620.00,0.05,32.55,0
946685743,23.29,13670.00,0.05,30.83,0
946685763,23.42,13750.00,0.05,29.54,0
946685782,23.44,13760.00,0.05,28.25,0
946685802,23.45,13760.00,0.05,26.54,0
946685823,23.46,13770.00,0.05,25.25,0
946685843,23.64,13830.00,0.05,23.96,0
946685863,23.66,13830.00,0.05,22.67,0
946685882,23.68,13830.00,0.05,20.95,0
946685902,23.69,13830.00,0.05,19.57,0
946685923,23.69,13830.00,0.05,18.02,0
946685943,23.70,13830.00,0.05,16.73,0
946685963,23.69,13840.00,0.05,15.17,0
946685982,23.69,13840.00,0.05,13.88,0
946686002,23.68,13840.00,0.05,12.33,0
946686023,23.67,13840.00,0.05,11.03,0
946686043,23.67,13850.00,0.05,9.48,0
946686063,23.66,13840.00,0.05,8.21,0
946686082,23.65,13850.00,0.05,6.73,0
946686102,23.65,13850.00,0.05,5.40,0
946686122,23.64,13850.00,0.05,4.21,0
946686143,23.63,13850.00,0.05,2.94,0
946686163,23.63,13840.00,0.05,1.98,0
946686182,23.37,0.00,0.05,1.25,0
946686202,23.11,0.00,0.05,0.55,0
946686222,23.10,0.00,0.05,0.10,0
946686243,23.09,77120.00,0.05,0.02,0
946686263,23.08,78120.00,0.05,0.00,0
946686282,23.07,78260.00,0.05,0.00,0
946686302,23.06,78370.00,0.05,0.00,0
946686322,23.05,78470.00,0.05,0.00,0
946686343,23.04,78510.00,0.05,0.00,0
946686363,23.03,78530.00,0.05,0.00,0
946686382,23.03,78560.00,0.05,0.00,0
946686402,23.03,78570.00,0.05,0.00,0
946686422,23.02,78590.00,0.05,0.00,0
946686442,23.02,78590.00,0.05,0.00,0
946686463,23.02,78650.00,0.05,0.00,0
946686483,23.02,78680.00,0.05,0.00,0
946686502,23.01,78660.00,0.05,0.00,0
946686522,23.01,78680.00,0.05,0.00,0
946686542,23.01,78690.00,0.05,0.00,0
946686563,23.01,78690.00,0.05,0.00,0
946686583,23.00,78690.00,0.05,0.00,0
946686602,23.00,8877.00,0.05,0.00,0
946686622,22.73,1044.00,0.24,0.00,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,10.60,0.00,4.10,86.20,0
946684823,10.62,0.00,4.10,86.20,0
946684843,10.64,0.00,4.10,86.20,0
946684862,10.66,0.00,4.10,86.20,0
946684882,10.67,0.00,4.10,86.20,0
946684902,10.68,0.00,4.10,86.20,0
946684923,10.68,0.00,4.10,86.20,0
946684943,10.69,0.00,4.10,86.20,0
946684963,10.69,0.00,4.10,86.20,0
946684982,10.69,0.00,4.10,86.20,0
946685002,10.69,0.00,4.10,86.20,0
946685022,10.69,0.00,4.10,86.20,0
946685043,10.69,0.00,4.10,86.20,0
946685063,10.69,0.00,4.10,86.20,0
946685083,10.69,0.00,4.10,86.20,0
946685102,10.69,0.00,4.10,86.20,0
946685122,10.69,0.00,4.10,86.20,0
946685142,10.69,0.00,4.10,86.34,0
946685163,10.69,0.00,4.10,86.34,0
946685183,10.69,0.00,4.10,86.34,0
946685202,10.69,0.00,4.10,86.34,0
946685222,10.69,0.00,4.10,86.34,0
946685242,10.69,0.00,4.10,86.34,0
946685262,10.68,0.00,4.10,86.34,0
946685283,10.68,0.00,4.10,86.34,0
946685303,10.69,0.00,4.10,86.34,0
946685322,10.69,0.00,4.10,86.34,0
946685342,10.69,0.00,4.10,86.34,0
946685362,10.69,0.00,4.10,86.34,0
946685382,10.69,0.00,4.10,86.34,0
946685402,10.69,0.00,4.10,86.34,0
946685423,10.69,0.00,4.10,86.34,0
946685443,10.69,0.00,4.10,86.34,0
946685462,10.69,0.00,4.10,86.34,0
946685482,10.69,0.00,4.10,86.34,0
946685502,10.69,0.00,4.10,86.34,0
946685522,10.69,0.00,4.10,86.34,0
946685543,10.69,0.00,4.09,86.49,0
946685563,10.69,0.00,4.09,86.49,0
946685582,10.69,0.00,4.09,86.49,0
946685602,10.69,0.00,4.09,86.49,0
946685622,10.69,0.00,4.09,86.49,0
946685643,10.69,0.00,4.09,86.49,0
946685663,10.69,0.00,4.09,86.49,0
946685683,10.69,0.00,4.09,86.49,0
946685702,10.68,0.00,4.09,86.49,0
946685722,10.68,0.00,4.09,86.49,0
946685742,10.69,0.00,4.09,86.49,0
946685763,10.69,0.00,4.09,86.49,0
946685783,10.68,0.00,4.09,86.49,0
946685803,10.69,0.00,4.09,86.49,0
946685822,10.69,0.00,4.09,86.49,0
946685842,10.69,0.00,4.09,86.49,0
946685862,10.69,0.00,4.09,86.49,0
946685883,10.69,0.00,4.09,86.49,0
946685903,10.69,0.00,4.09,86.49,0
946685922,10.69,0.00,4.09,86.49,0
946685942,10.69,0.00,4.09,86.49,0
946685962,10.68,0.00,4.09,86.49,0
946685982,10.69,0.00,4.09,86.63,0
946686003,10.69,0.00,4.09,86.63,0
946686023,10.69,0.00,4.09,86.63,0
946686042,10.68,0.00,4.09,86.63,0
946686062,10.68,0.00,4.09,86.63,0
946686082,10.68,0.00,4.09,86.63,0
946686103,10.68,0.00,4.09,86.63,0
946686123,10.68,0.00,4.09,86.63,0
946686143,10.68,0.00,4.09,86.63,0
946686162,10.68,0.00,4.09,86.63,0
946686182,10.68,0.00,4.09,86.63,0
946686202,10.68,0.00,4.09,86.63,0
946686223,10.68,0.00,4.09,86.63,0
946686243,10.68,0.00,4.09,86.63,0
946686263,10.68,0.00,4.09,86.63,0
946686282,10.68,0.00,4.09,86.63,0
946686302,10.68,0.00,4.09,86.63,0
946686322,10.68,0.00,4.09,86.63,0
946686342,10.68,0.00,4.09,86.63,0
946686363,10.68,0.00,4.09,86.63,0
946686383,10.68,0.00,4.09,86.63,0
946686402,10.68,0.00,4.09,86.63,0
946686422,10.68,0.00,4.09,86.63,0
946686442,10.68,0.00,4.09,86.63,0
946686462,10.68,0.00,4.09,86.63,0
946686483,10.68,0.00,4.09,86.63,0
946686503,10.68,0.00,4.09,86.63,0
946686523,10.68,0.00,4.09,86.78,0
946686542,10.68,0.00,4.09,86.78,0
946686562,10.68,0.00,4.09,86.78,0
946686582,10.68,0.00,4.09,86.78,0
946686603,10.68,0.00,4.09,86.78,0
946686623,10.68,0.00,4.09,86.78,0
946686643,10.68,0.00,4.09,86.78,0
946686662,10.68,0.00,4.09,86.78,0
946686682,10.68,0.00,4.09,86.78,0
946686702,10.68,0.00,4.09,86.78,0
946686723,10.68,0.00,4.09,86.78,0
946686743,10.68,0.00,4.09,86.78,0
946686762,10.68,0.00,4.09,86.78,0
946686782,10.68,0.00,4.09,86.78,0
946686802,10.67,0.00,4.09,86.78,0
946686822,10.68,0.00,4.09,86.78,0
