Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684806,0,0,3.86,57.26,0,0,2025-12-22 10:55:06
946684823,22.68,0,3.94,57.26,0,17,2025-12-22 10:55:23
946684842,22.89,0,3.95,57.26,0,36,2025-12-22 10:55:42
946684862,22.89,0,3.95,57.26,0,56,2025-12-22 10:56:02
946684882,22.92,0,3.95,57.26,0,76,2025-12-22 10:56:22
946684903,22.74,0,3.95,57.26,0,97,2025-12-22 10:56:43
946684923,22.79,0,3.95,57.26,0,117,2025-12-22 10:57:03
946684943,22.65,0,3.95,57.26,0,137,2025-12-22 10:57:23
946684962,22.68,0,3.96,57.26,0,156,2025-12-22 10:57:42
946684982,22.68,0,3.96,57.26,0,176,2025-12-22 10:58:02
946685003,22.14,0,3.96,57.58,0,197,2025-12-22 10:58:23
946685023,21.98,0,3.96,57.58,0,217,2025-12-22 10:58:43
946685043,22.17,0,3.96,57.58,0,237,2025-12-22 10:59:03
946685062,22.4,0,3.96,57.58,0,256,2025-12-22 10:59:22
946685082,22.45,0,3.96,57.58,0,276,2025-12-22 10:59:42
946685102,22.59,0,3.96,57.58,0,296,2025-12-22 11:00:02
946685123,22.59,0,3.96,57.58,0,317,2025-12-22 11:00:23
946685143,22.58,0,3.96,57.58,0,337,2025-12-22 11:00:43
946685162,22.55,0,3.97,57.89,0,356,2025-12-22 11:01:02
946685182,22.55,0,3.97,57.89,0,376,2025-12-22 11:01:22
946685202,22.55,0,3.97,57.89,0,396,2025-12-22 11:01:42
946685223,22.56,0,3.97,57.89,0,417,2025-12-22 11:02:03
946685243,22.39,0,3.97,57.89,0,437,2025-12-22 11:02:23
946685263,22.58,0,3.97,57.89,0,457,2025-12-22 11:02:43
946685282,22.58,0,3.97,57.89,0,476,2025-12-22 11:03:02
946685302,22.57,0,3.97,58.21,0,496,2025-12-22 11:03:22
946685322,22.55,0,3.97,58.21,0,516,2025-12-22 11:03:42
946685343,22.55,0,3.97,58.21,0,537,2025-12-22 11:04:03
946685363,22.55,0,3.97,58.21,0,557,2025-12-22 11:04:23
946685383,22.57,0,3.98,58.21,0,577,2025-12-22 11:04:43
946685402,22.21,0,3.98,58.21,0,596,2025-12-22 11:05:02
946685422,22.03,0,3.98,58.21,0,616,2025-12-22 11:05:22
946685442,22.26,0,3.98,58.53,0,636,2025-12-22 11:05:42
946685462,22.13,14570,3.98,58.53,0,656,2025-12-22 11:06:02
946685483,21.96,14620,3.98,58.53,0,677,2025-12-22 11:06:23
946685503,21.98,14630,3.98,58.53,0,697,2025-12-22 11:06:43
946685522,21.99,14630,3.98,58.53,0,716,2025-12-22 11:07:02
946685542,22,14620,3.98,58.53,0,736,2025-12-22 11:07:22
946685562,21.97,14630,3.98,58.53,0,756,2025-12-22 11:07:42
946685583,21.98,14620,3.98,58.84,0,777,2025-12-22 11:08:03
946685603,21.94,14620,3.98,58.84,0,797,2025-12-22 11:08:23
946685623,21.95,14610,3.99,58.84,0,817,2025-12-22 11:08:43
946685642,22.1,14610,3.99,58.84,0,836,2025-12-22 11:09:02
946685662,21.97,14610,3.99,58.84,0,856,2025-12-22 11:09:22
946685683,22.08,14600,3.99,58.84,0,877,2025-12-22 11:09:43
946685703,22.04,14600,3.99,58.84,0,897,2025-12-22 11:10:03
946685723,22.03,14590,3.99,59.16,0,917,2025-12-22 11:10:23
946685742,22.03,14590,3.99,59.16,0,936,2025-12-22 11:10:42
946685762,22.03,14590,3.99,59.16,0,956,2025-12-22 11:11:02
946685782,22.03,14590,3.99,59.16,0,976,2025-12-22 11:11:22
946685882,21.82,88420,4,59.48,0,1076,2025-12-22 11:13:02
946685903,21.67,89500,4,59.48,0,1097,2025-12-22 11:13:23
946685923,21.81,89740,4,59.48,0,1117,2025-12-22 11:13:43
946685943,22.01,89940,4,59.48,0,1137,2025-12-22 11:14:03
946685962,21.92,90010,4,59.79,0,1156,2025-12-22 11:14:22
946685982,21.73,90070,4,59.79,0,1176,2025-12-22 11:14:42
946686002,21.78,90180,4,59.79,0,1196,2025-12-22 11:15:02
946686023,21.62,90200,4,59.79,0,1217,2025-12-22 11:15:23
946686043,21.77,90250,4,59.79,0,1237,2025-12-22 11:15:43
946686062,21.78,90240,4,59.79,0,1256,2025-12-22 11:16:02
946686082,21.8,90180,4,60.11,0,1276,2025-12-22 11:16:22
946686102,21.8,90340,4,60.11,0,1296,2025-12-22 11:16:42
946686123,21.8,90260,4,60.11,0,1317,2025-12-22 11:17:03
946686143,21.92,90340,4,60.11,0,1337,2025-12-22 11:17:23
946686163,21.95,90360,4,60.11,0,1357,2025-12-22 11:17:43
946686182,21.87,90330,4,60.11,0,1376,2025-12-22 11:18:02
