cond_uscm,datetime
0,2025-12-22 10:59:04
0,2025-12-22 10:59:24
0,2025-12-22 10:59:44
0,2025-12-22 11:00:04
0,2025-12-22 11:00:24
0,2025-12-22 11:00:44
0,2025-12-22 11:01:04
0,2025-12-22 11:01:24
0,2025-12-22 11:01:44
0,2025-12-22 11:02:04
0,2025-12-22 11:02:24
0,2025-12-22 11:02:44
0,2025-12-22 11:03:04
0,2025-12-22 11:03:24
0,2025-12-22 11:03:44
0,2025-12-22 11:04:04
0,2025-12-22 11:04:24
0,2025-12-22 11:04:44
0,2025-12-22 11:04:57
12880,2025-12-22 11:05:56
12880,2025-12-22 11:06:16
12880,2025-12-22 11:06:36
12880,2025-12-22 11:06:56
12880,2025-12-22 11:07:16
12880,2025-12-22 11:07:36
12880,2025-12-22 11:07:56
12880,2025-12-22 11:08:16
12880,2025-12-22 11:08:36
12880,2025-12-22 11:08:56
12880,2025-12-22 11:09:16
12880,2025-12-22 11:09:36
12880,2025-12-22 11:09:56
12880,2025-12-22 11:10:16
12880,2025-12-22 11:10:36
12880,2025-12-22 11:10:56
12880,2025-12-22 11:11:16
12880,2025-12-22 11:11:36
12880,2025-12-22 11:11:41
80000,2025-12-22 11:12:47
80000,2025-12-22 11:13:07
80000,2025-12-22 11:13:27
80000,2025-12-22 11:13:47
80000,2025-12-22 11:14:07
80000,2025-12-22 11:14:27
80000,2025-12-22 11:14:47
80000,2025-12-22 11:15:07
80000,2025-12-22 11:15:27
80000,2025-12-22 11:15:47
80000,2025-12-22 11:16:07
80000,2025-12-22 11:16:27
80000,2025-12-22 11:16:47
80000,2025-12-22 11:17:07
80000,2025-12-22 11:17:27
80000,2025-12-22 11:17:47
80000,2025-12-22 11:18:07
80000,2025-12-22 11:18:20
