cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec
0,2025-12-22 10:59:04,946685043,22.17,0,3.96,57.58,0,237
0,2025-12-22 10:59:24,946685062,22.4,0,3.96,57.58,0,256
0,2025-12-22 10:59:44,946685082,22.45,0,3.96,57.58,0,276
0,2025-12-22 11:00:04,946685102,22.59,0,3.96,57.58,0,296
0,2025-12-22 11:00:24,946685123,22.59,0,3.96,57.58,0,317
0,2025-12-22 11:00:44,946685143,22.58,0,3.96,57.58,0,337
0,2025-12-22 11:01:04,946685162,22.55,0,3.97,57.89,0,356
0,2025-12-22 11:01:24,946685182,22.55,0,3.97,57.89,0,376
0,2025-12-22 11:01:44,946685202,22.55,0,3.97,57.89,0,396
0,2025-12-22 11:02:04,946685223,22.56,0,3.97,57.89,0,417
0,2025-12-22 11:02:24,946685243,22.39,0,3.97,57.89,0,437
0,2025-12-22 11:02:44,946685263,22.58,0,3.97,57.89,0,457
0,2025-12-22 11:03:04,946685282,22.58,0,3.97,57.89,0,476
0,2025-12-22 11:03:24,946685302,22.57,0,3.97,58.21,0,496
0,2025-12-22 11:03:44,946685322,22.55,0,3.97,58.21,0,516
0,2025-12-22 11:04:04,946685343,22.55,0,3.97,58.21,0,537
0,2025-12-22 11:04:24,946685363,22.55,0,3.97,58.21,0,557
0,2025-12-22 11:04:44,946685383,22.57,0,3.98,58.21,0,577
0,2025-12-22 11:04:57,946685402,22.21,0,3.98,58.21,0,596
12880,2025-12-22 11:05:56,946685462,22.13,14570,3.98,58.53,0,656
12880,2025-12-22 11:06:16,946685483,21.96,14620,3.98,58.53,0,677
12880,2025-12-22 11:06:36,946685503,21.98,14630,3.98,58.53,0,697
12880,2025-12-22 11:06:56,946685522,21.99,14630,3.98,58.53,0,716
12880,2025-12-22 11:07:16,946685542,22.0,14620,3.98,58.53,0,736
12880,2025-12-22 11:07:36,946685562,21.97,14630,3.98,58.53,0,756
12880,2025-12-22 11:07:56,946685583,21.98,14620,3.98,58.84,0,777
12880,2025-12-22 11:08:16,946685603,21.94,14620,3.98,58.84,0,797
12880,2025-12-22 11:08:36,946685623,21.95,14610,3.99,58.84,0,817
12880,2025-12-22 11:08:56,946685642,22.1,14610,3.99,58.84,0,836
12880,2025-12-22 11:09:16,946685662,21.97,14610,3.99,58.84,0,856
12880,2025-12-22 11:09:36,946685683,22.08,14600,3.99,58.84,0,877
12880,2025-12-22 11:09:56,946685703,22.04,14600,3.99,58.84,0,897
12880,2025-12-22 11:10:16,946685723,22.03,14590,3.99,59.16,0,917
12880,2025-12-22 11:10:36,946685742,22.03,14590,3.99,59.16,0,936
12880,2025-12-22 11:10:56,946685762,22.03,14590,3.99,59.16,0,956
12880,2025-12-22 11:11:16,946685782,22.03,14590,3.99,59.16,0,976
12880,2025-12-22 11:11:36,946685782,22.03,14590,3.99,59.16,0,976
12880,2025-12-22 11:11:41,946685782,22.03,14590,3.99,59.16,0,976
80000,2025-12-22 11:12:47,946685882,21.82,88420,4.0,59.48,0,1076
80000,2025-12-22 11:13:07,946685882,21.82,88420,4.0,59.48,0,1076
80000,2025-12-22 11:13:27,946685903,21.67,89500,4.0,59.48,0,1097
80000,2025-12-22 11:13:47,946685923,21.81,89740,4.0,59.48,0,1117
80000,2025-12-22 11:14:07,946685943,22.01,89940,4.0,59.48,0,1137
80000,2025-12-22 11:14:27,946685962,21.92,90010,4.0,59.79,0,1156
80000,2025-12-22 11:14:47,946685982,21.73,90070,4.0,59.79,0,1176
80000,2025-12-22 11:15:07,946686002,21.78,90180,4.0,59.79,0,1196
80000,2025-12-22 11:15:27,946686023,21.62,90200,4.0,59.79,0,1217
80000,2025-12-22 11:15:47,946686043,21.77,90250,4.0,59.79,0,1237
80000,2025-12-22 11:16:07,946686062,21.78,90240,4.0,59.79,0,1256
80000,2025-12-22 11:16:27,946686082,21.8,90180,4.0,60.11,0,1276
80000,2025-12-22 11:16:47,946686102,21.8,90340,4.0,60.11,0,1296
80000,2025-12-22 11:17:07,946686123,21.8,90260,4.0,60.11,0,1317
80000,2025-12-22 11:17:27,946686143,21.92,90340,4.0,60.11,0,1337
80000,2025-12-22 11:17:47,946686163,21.95,90360,4.0,60.11,0,1357
80000,2025-12-22 11:18:07,946686182,21.87,90330,4.0,60.11,0,1376
80000,2025-12-22 11:18:20,946686182,21.87,90330,4.0,60.11,0,1376
