Real_Time,Temp_C,Cond_uScm-1
1752258963,35.63,0.00
1752259322,33.10,0.00
1752259683,33.62,0.00
1752260043,33.63,0.00
1752260402,33.78,0.00
1752260763,32.78,0.00
1752261123,31.99,0.00
1752261483,33.73,0.00
1752261843,34.15,0.00
1752262202,33.33,0.00
1752262562,34.01,0.00
1752262923,32.03,0.00
1752263282,33.30,0.00
1752263642,31.79,0.00
1752264002,33.59,0.00
1752264363,33.40,0.00
1752264723,33.39,0.00
1752265083,34.45,0.00
1752265443,33.90,0.00
1752265802,33.69,0.00
1752266163,34.30,0.00
1752266522,33.64,0.00
1752266882,34.58,0.00
1752267243,34.38,0.00
1752267603,33.47,0.00
1752267963,33.89,0.00
1752268323,34.80,0.00
1752268682,33.93,0.00
1752269043,34.23,0.00
1752269403,34.77,0.00
1752269763,33.12,0.00
1752270123,32.66,0.00
1752270482,32.85,0.00
1752270843,32.27,0.00
1752271203,32.26,0.00
1752271563,31.71,0.00
1752271922,31.85,0.00
1752272283,31.85,0.00
1752272643,31.71,0.00
1752273003,31.40,0.00
1752273362,31.25,0.00
1752273723,31.80,0.00
1752274083,30.73,0.00
1752274443,30.90,0.00
1752274802,30.41,0.00
1752275163,30.41,0.00
1752275523,30.39,0.00
1752275882,30.40,0.00
1752276242,30.16,0.00
1752276603,30.40,0.00
1752276963,30.41,0.00
1752277322,30.00,0.00
1752277682,29.98,0.00
1752278043,29.96,0.00
1752278403,29.74,0.00
1752278763,29.75,0.00
1752279122,29.74,0.00
1752279483,29.71,0.00
1752279843,29.43,0.00
1752280202,29.42,0.00
1752280562,29.17,0.00
1752280922,29.32,0.00
1752281283,29.29,0.00
1752281643,29.04,0.00
1752282003,29.03,0.00
1752282362,29.05,0.00
1752282722,29.06,0.00
1752283082,28.90,0.00
1752283442,28.91,0.00
1752283803,28.91,0.00
1752284163,28.94,0.00
1752284523,28.96,0.00
1752284882,28.95,0.00
1752285242,28.95,0.00
1752285602,28.94,0.00
1752285963,28.94,0.00
1752286322,28.95,0.00
1752286682,28.73,0.00
1752287043,28.55,0.00
1752287403,28.57,0.00
1752287763,28.58,0.00
1752288122,28.59,0.00
1752288483,28.58,0.00
1752288843,28.58,0.00
1752289203,28.45,0.00
1752289562,28.47,0.00
1752289922,28.46,0.00
1752290283,28.46,0.00
1752290643,28.47,0.00
1752291002,28.47,0.00
1752291362,28.49,0.00
1752291723,28.48,0.00
1752292083,28.48,0.00
1752292443,28.49,0.00
1752292802,28.48,0.00
1752293163,28.45,0.00
1752293523,28.43,0.00
1752293883,28.25,0.00
1752294243,28.23,0.00
1752294602,28.24,0.00
1752294962,28.23,0.00
1752295323,28.23,0.00
1752295683,28.06,0.00
1752296042,28.05,0.00
1752296402,28.02,0.00
1752296763,28.02,0.00
1752297122,27.86,0.00
1752297483,27.85,0.00
1752297843,27.83,0.00
1752298202,27.81,0.00
1752298562,27.62,0.00
1752298922,27.61,0.00
1752299282,27.62,0.00
1752299643,27.62,0.00
1752300003,27.62,0.00
1752300362,27.62,0.00
1752300722,27.61,0.00
1752301082,27.58,0.00
1752301443,27.45,0.00
1752301802,27.46,0.00
1752302162,27.45,0.00
1752302522,27.45,0.00
1752302882,27.45,0.00
1752303243,27.22,0.00
1752303603,27.22,0.00
1752303962,27.20,0.00
1752304322,27.20,0.00
1752304682,26.98,0.00
1752305042,26.97,0.00
1752305402,26.97,0.00
1752305762,26.97,0.00
1752306122,26.96,0.00
1752306482,26.73,0.00
1752306842,26.72,0.00
1752307202,26.72,0.00
1752307563,26.70,0.00
1752307923,26.69,0.00
1752308282,26.51,0.00
1752308642,26.50,0.00
1752309002,26.36,0.00
1752309363,26.37,0.00
1752309723,26.38,0.00
1752310082,26.39,0.00
1752310442,26.36,0.00
1752310802,26.34,0.00
1752311162,26.13,0.00
1752311522,26.12,0.00
1752311882,26.11,0.00
1752312242,25.88,0.00
1752312603,25.87,0.00
1752312963,25.89,0.00
1752313322,25.88,0.00
1752313682,25.86,0.00
1752314042,25.87,0.00
1752314403,25.72,0.00
1752314762,25.74,0.00
1752315122,25.75,0.00
1752315482,25.75,0.00
1752315842,25.75,0.00
1752316202,25.73,0.00
1752316562,25.72,0.00
1752316923,25.71,0.00
1752317282,25.70,0.00
1752317642,25.71,0.00
1752318002,25.86,0.00
1752318363,25.84,0.00
1752318722,25.83,0.00
1752319083,25.97,0.00
1752319443,25.99,0.00
1752319802,26.15,0.00
1752320163,27.20,0.00
1752320523,26.59,0.00
1752320882,26.58,0.00
1752321243,26.60,0.00
1752321603,26.74,0.00
1752321963,26.87,0.00
1752322323,27.04,0.00
1752322682,27.79,0.00
1752323042,27.48,0.00
1752323402,27.62,0.00
1752323763,27.60,0.00
1752324123,27.77,0.00
1752324482,27.93,0.00
1752324842,28.13,0.00
1752325202,28.36,0.00
1752325563,28.35,0.00
1752325923,31.50,0.00
1752326282,31.81,0.00
1752326642,32.55,0.00
1752327002,33.04,0.00
1752327362,32.87,0.00
1752327723,30.63,0.00
1752328083,30.48,0.00
1752328443,30.50,0.00
1752328803,30.19,0.00
1752329163,30.56,0.00
1752329523,32.23,0.00
1752329883,33.26,0.00
1752330243,32.18,0.00
1752330603,31.56,0.00
1752330963,31.57,0.00
1752331322,31.58,0.00
1752331683,31.96,0.00
1752332042,32.82,0.00
1752332418,34.55,0.00
1752332762,35.49,0.00
1752333134,35.74,0.00
1752333483,34.33,0.00
1752333843,34.35,0.00
1752334202,34.99,0.00
1752334562,34.29,0.00
1752334922,34.29,0.00
1752335283,34.67,0.00
1752335643,33.99,0.00
1752336003,34.31,0.00
1752336362,34.02,0.00
1752336722,34.00,0.00
1752337082,34.96,0.00
1752337442,34.33,0.00
1752337803,33.92,0.00
1752338163,34.30,0.00
1752338523,34.28,0.00
1752338882,34.27,0.00
1752339242,33.22,0.00
1752339602,32.78,0.00
1752339963,32.33,0.00
1752340323,32.35,0.00
1752340683,32.64,0.00
1752341043,33.28,0.00
1752341402,33.26,0.00
1752341762,33.51,0.00
1752342122,34.75,0.00
1752342483,35.25,0.00
1752342843,35.03,0.00
1752343203,35.33,0.00
1752343562,35.32,0.00
1752343922,35.35,0.00
1752344282,35.05,0.00
1752344642,35.05,0.00
1752345003,35.46,0.00
1752345363,35.28,0.00
1752345723,34.77,0.00
1752346083,35.92,0.00
1752346442,35.09,0.00
1752346802,34.41,0.00
1752347162,34.93,0.00
1752347523,34.64,0.00
1752347883,35.07,0.00
1752348243,35.99,0.00
1752348602,35.66,0.00
1752348962,35.06,0.00
1752349322,34.85,0.00
1752349682,34.66,0.00
1752350043,34.99,0.00
1752350403,34.79,0.00
1752350763,34.26,0.00
1752351122,35.21,0.00
1752351482,34.09,0.00
1752351842,34.10,0.00
1752352202,34.88,0.00
1752352563,34.66,0.00
1752352923,34.38,0.00
1752353283,34.37,0.00
1752353642,34.39,0.00
1752354003,34.05,0.00
1752354362,33.87,0.00
1752354723,33.70,0.00
1752355083,33.42,0.00
1752355443,34.34,0.00
1752355803,34.15,0.00
1752356162,33.46,0.00
1752356522,33.09,0.00
1752356883,32.94,0.00
1752357243,32.49,0.00
1752357603,31.99,0.00
1752357962,32.20,0.00
1752358322,31.90,0.00
1752358682,31.61,0.00
1752359042,31.63,0.00
1752359402,32.03,0.00
1752359763,32.03,0.00
1752360123,32.01,0.00
1752360483,31.65,0.00
1752360842,31.49,0.00
1752361202,31.22,0.00
1752361562,31.43,0.00
1752361922,30.97,0.00
1752362283,30.97,0.00
1752362643,30.63,0.00
1752363003,30.62,0.00
1752363362,30.38,0.00
1752363722,30.40,0.00
1752364082,30.40,0.00
1752364443,30.38,0.00
1752364803,30.14,0.00
1752365163,29.82,0.00
1752365522,29.84,0.00
1752365882,29.58,0.00
1752366242,29.60,0.00
1752366602,29.43,0.00
1752366963,29.42,0.00
1752367323,29.27,0.00
1752367683,29.10,0.00
1752368042,29.28,0.00
1752368402,29.28,0.00
1752368762,29.05,0.00
1752369122,29.07,0.00
1752369482,28.84,0.00
1752369842,28.85,0.00
1752370203,29.06,0.00
1752370563,29.08,0.00
1752370923,28.83,0.00
1752371282,28.83,0.00
1752371642,28.82,0.00
1752372002,28.65,0.00
1752372363,28.65,0.00
1752372723,28.66,0.00
1752373083,28.67,0.00
1752373443,28.65,0.00
1752373802,28.51,0.00
1752374162,28.50,0.00
1752374522,28.50,0.00
1752374883,28.68,0.00
1752375243,28.55,0.00
1752375603,28.53,0.00
1752375962,28.52,0.00
1752376322,28.51,0.00
1752376682,28.34,0.00
1752377042,28.36,0.00
1752377403,28.36,0.00
1752377763,28.38,0.00
1752378123,28.38,0.00
1752378482,28.36,0.00
1752378842,28.22,0.00
1752379202,28.22,0.00
1752379562,28.21,0.00
1752379923,28.22,0.00
1752380283,28.22,0.00
1752380643,28.20,0.00
1752381002,28.19,0.00
1752381362,28.19,0.00
1752381722,28.18,0.00
1752382082,27.94,0.00
1752382443,27.94,0.00
1752382803,27.93,0.00
1752383163,27.77,0.00
1752383523,27.76,0.00
1752383882,27.77,0.00
1752384242,27.64,0.00
1752384602,27.66,0.00
1752384963,27.67,0.00
1752385323,27.67,0.00
1752385683,27.68,0.00
1752386042,27.65,0.00
1752386402,27.64,0.00
1752386762,27.49,0.00
1752387122,27.49,0.00
1752387483,27.48,0.00
1752387843,27.46,0.00
1752388203,27.30,0.00
1752388562,27.33,0.00
1752388922,27.33,0.00
1752389282,27.33,0.00
1752389642,27.33,0.00
1752390003,27.32,0.00
1752390363,27.06,0.00
1752390722,27.22,0.00
1752391083,27.19,0.00
1752391443,27.16,0.00
1752391803,27.16,0.00
1752392162,27.16,0.00
1752392522,27.01,0.00
1752392882,27.02,0.00
1752393242,27.02,0.00
1752393603,27.00,0.00
1752393963,26.97,0.00
1752394323,26.96,0.00
1752394683,26.96,0.00
1752395043,26.93,0.00
1752395403,26.90,0.00
1752395763,26.77,0.00
1752396122,26.76,0.00
1752396482,26.74,0.00
1752396842,26.75,0.00
1752397202,26.76,0.00
1752397563,26.76,0.00
1752397923,26.75,0.00
1752398283,26.75,0.00
1752398642,26.72,0.00
1752399002,26.69,0.00
1752399362,26.55,0.00
1752399722,26.41,0.00
1752400083,26.41,0.00
1752400443,26.42,0.00
1752400803,26.41,0.00
1752401162,26.40,0.00
1752401522,26.40,0.00
1752401882,26.40,0.00
1752402242,26.42,0.00
1752402603,26.44,0.00
1752402963,26.45,0.00
1752403323,26.61,0.00
1752403682,26.75,0.00
1752404042,26.95,0.00
1752404403,27.12,0.00
1752404763,27.27,0.00
1752405123,27.42,0.00
1752405482,27.43,0.00
1752405842,27.44,0.00
1752406202,27.42,0.00
1752406563,28.71,0.00
1752406923,28.49,0.00
1752407283,28.05,0.00
1752407642,28.03,0.00
1752408002,28.03,0.00
1752408362,28.04,0.00
1752408722,28.25,0.00
1752409083,27.98,0.00
1752409443,27.97,0.00
1752409803,27.82,0.00
1752410162,28.23,0.00
1752410522,28.43,0.00
1752410882,28.41,0.00
1752411242,28.72,0.00
1752411603,28.87,0.00
1752411963,29.16,0.00
1752412323,32.25,0.00
1752412682,32.54,0.00
1752413042,32.79,0.00
1752413402,32.81,0.00
1752413762,32.81,0.00
1752414123,30.57,0.00
1752414483,30.24,0.00
1752414843,30.62,0.00
1752415202,30.26,0.00
1752415562,30.53,0.00
1752415922,31.31,0.00
1752416282,32.07,0.00
1752416643,31.33,0.00
1752417003,30.89,0.00
1752417363,30.88,0.00
1752417722,31.09,0.00
1752418082,31.64,0.00
1752418442,32.18,0.00
1752418803,33.36,0.00
1752419163,34.07,0.00
1752419523,33.48,0.00
1752419883,34.00,0.00
1752420242,34.41,0.00
1752420602,34.68,0.00
1752420962,35.29,0.00
1752421322,35.26,0.00
1752421683,34.14,0.00
1752422043,34.78,0.00
1752422403,34.44,0.00
1752422762,35.00,0.00
1752423122,34.98,0.00
1752423482,34.50,0.00
1752423842,33.91,0.00
1752424203,34.27,0.00
1752424563,34.00,0.00
1752424923,34.82,0.00
1752425282,34.84,0.00
1752425642,35.55,0.00
1752426002,33.88,0.00
1752426363,33.72,0.00
1752426723,33.71,0.00
1752427083,33.26,0.00
1752427442,33.87,0.00
1752427802,33.87,0.00
1752428162,34.19,0.00
1752428522,34.20,0.00
1752428883,34.49,0.00
1752429243,34.28,0.00
1752429603,34.29,0.00
1752429962,34.29,0.00
1752430322,34.00,0.00
1752430682,33.98,0.00
1752431042,34.37,0.00
1752431403,34.36,0.00
1752431762,34.11,0.00
1752432122,34.09,0.00
1752432482,34.10,0.00
1752432843,34.13,0.00
1752433203,33.97,0.00
1752433563,34.12,0.00
1752433922,33.99,0.00
1752434282,33.84,0.00
1752434642,34.23,0.00
1752435003,34.22,0.00
1752435363,35.40,0.00
1752435723,34.55,0.00
1752436082,34.53,0.00
1752436442,34.51,0.00
1752436802,34.65,0.00
1752437162,35.32,0.00
1752437523,34.54,0.00
1752437883,33.66,0.00
1752438243,33.50,0.00
1752438602,32.96,0.00
1752438962,32.72,0.00
1752439322,32.75,0.00
1752439682,31.97,0.00
1752440043,31.94,0.00
1752440403,31.50,0.00
1752440763,31.14,0.00
1752441122,31.13,0.00
1752441482,30.77,0.00
1752441842,30.77,0.00
1752442202,30.63,0.00
1752442563,30.62,0.00
1752442923,30.46,0.00
1752443283,30.48,0.00
1752443642,30.46,0.00
1752444002,30.45,0.00
1752444363,30.28,0.00
1752444723,30.29,0.00
1752445083,30.28,0.00
1752445442,30.14,0.00
1752445802,30.16,0.00
1752446162,30.14,0.00
1752446522,30.13,0.00
1752446883,30.11,0.00
1752447243,29.88,0.00
1752447603,29.72,0.00
1752447962,29.71,0.00
1752448322,29.72,0.00
1752448682,29.42,0.00
1752449042,29.76,0.00
1752449403,29.59,0.00
1752449763,29.33,0.00
1752450123,29.35,0.00
1752450482,29.36,0.00
1752450842,29.34,0.00
1752451202,29.32,0.00
1752451562,29.08,0.00
1752451923,29.06,0.00
1752452283,29.05,0.00
1752452643,29.04,0.00
1752453002,29.04,0.00
1752453362,29.04,0.00
1752453722,29.06,0.00
1752454083,29.07,0.00
1752454443,29.21,0.00
1752454803,28.86,0.00
1752455162,29.03,0.00
1752455522,28.48,0.00
1752455883,28.64,0.00
1752456243,28.62,0.00
1752456603,28.64,0.00
1752456962,28.79,0.00
1752457322,28.78,0.00
1752457682,28.78,0.00
1752458042,28.51,0.00
1752458403,28.51,0.00
1752458763,28.52,0.00
1752459123,28.53,0.00
1752459482,28.73,0.00
1752459842,28.74,0.00
1752460202,28.58,0.00
1752460563,28.55,0.00
1752460923,28.74,0.00
1752461283,28.72,0.00
1752461642,28.53,0.00
1752462002,28.38,0.00
1752462362,28.62,0.00
1752462722,28.63,0.00
1752463083,28.07,0.00
1752463443,28.07,0.00
1752463803,28.39,0.00
1752464162,27.93,0.00
1752464522,27.79,0.00
1752464882,27.81,0.00
1752465243,27.99,0.00
1752465603,27.79,0.00
1752465963,27.78,0.00
1752466322,27.77,0.00
1752466682,27.78,0.00
1752467042,28.14,0.00
1752467402,27.93,0.00
1752467763,27.93,0.00
1752468123,27.77,0.00
1752468482,27.75,0.00
1752468842,27.77,0.00
1752469203,27.79,0.00
1752469563,27.79,0.00
1752469923,27.76,0.00
1752470282,27.74,0.00
1752470642,27.72,0.00
1752471002,27.71,0.00
1752471362,27.70,0.00
1752471723,27.68,0.00
1752472083,27.86,0.00
1752472443,27.65,0.00
1752472802,27.63,0.00
1752473162,27.61,0.00
1752473522,27.80,0.00
1752473882,28.05,0.00
1752474243,28.03,0.00
1752474603,27.60,0.00
1752474963,27.82,0.00
1752475322,27.69,0.00
1752475682,27.87,0.00
1752476042,27.66,0.00
1752476403,27.83,0.00
1752476763,27.25,0.00
1752477123,27.22,0.00
1752477482,27.53,0.00
1752477842,27.40,0.00
1752478202,27.16,0.00
1752478562,26.90,0.00
1752478923,27.12,0.00
1752479283,27.33,0.00
1752479643,27.47,0.00
1752480002,27.45,0.00
1752480362,27.45,0.00
1752480722,27.43,0.00
1752481082,27.41,0.00
1752481442,27.38,0.00
1752481802,27.05,0.00
1752482163,27.19,0.00
1752482522,27.01,0.00
1752482882,27.19,0.00
1752483242,27.19,0.00
1752483602,26.83,0.00
1752483963,26.82,0.00
1752484323,27.19,0.00
1752484683,27.02,0.00
1752485042,27.19,0.00
1752485402,27.19,0.00
1752485762,26.94,0.00
1752486123,26.93,0.00
1752486483,27.18,0.00
1752486843,27.17,0.00
1752487202,27.17,0.00
1752487562,27.16,0.00
1752487922,27.16,0.00
1752488282,27.18,0.00
1752488643,27.03,0.00
1752489003,27.25,0.00
1752489363,27.44,0.00
1752489722,27.44,0.00
1752490082,27.42,0.00
1752490443,27.41,0.00
1752490803,27.40,0.00
1752491163,27.54,0.00
1752491523,27.70,0.00
1752491882,27.95,0.00
1752492242,27.96,0.00
1752492602,27.78,0.00
1752492963,28.77,0.00
1752493323,28.46,0.00
1752493683,28.48,0.00
1752494042,28.62,0.00
1752494402,28.65,0.00
1752494762,28.51,0.00
1752495122,28.53,0.00
1752495482,28.36,0.00
1752495843,28.36,0.00
1752496203,28.38,0.00
1752496563,28.81,0.00
1752496922,28.49,0.00
1752497282,28.95,0.00
1752497642,29.21,0.00
1752498002,29.24,0.00
1752498363,29.23,0.00
1752498723,32.12,0.00
1752499082,33.07,0.00
1752499442,33.24,0.00
1752499802,33.63,0.00
1752500162,33.64,0.00
1752500523,30.84,0.00
1752500883,30.53,0.00
1752501243,30.55,0.00
1752501603,30.57,0.00
1752501962,30.57,0.00
1752502322,30.96,0.00
1752502682,31.40,0.00
1752503043,31.03,0.00
1752503403,30.61,0.00
1752503763,31.04,0.00
1752504123,31.02,0.00
1752504482,31.54,0.00
1752504842,31.93,0.00
1752505202,34.40,0.00
1752505563,34.25,0.00
1752505923,34.24,0.00
1752506283,33.56,0.00
1752506642,34.79,0.00
1752507002,33.15,0.00
1752507362,34.10,0.00
1752507722,33.63,0.00
1752508082,34.41,0.00
1752508443,34.28,0.00
1752508803,33.68,0.00
1752509163,33.82,0.00
1752509523,33.23,0.00
1752509883,34.26,0.00
1752510242,34.12,0.00
1752510603,34.91,0.00
1752510963,34.31,0.00
1752511323,34.60,0.00
1752511682,34.57,0.00
1752512042,33.97,0.00
1752512402,33.73,0.00
1752512763,33.70,0.00
1752513123,33.06,0.00
1752513482,33.29,0.00
1752513842,32.82,0.00
1752514202,33.78,0.00
1752514562,33.63,0.00
1752514923,33.65,0.00
1752515283,33.44,0.00
1752515643,33.03,0.00
1752516002,33.17,0.00
1752516362,34.12,0.00
1752516722,33.79,0.00
1752517082,34.29,0.00
1752517443,33.63,0.00
1752517803,33.77,0.00
1752518163,33.78,0.00
1752518522,33.76,0.00
1752518882,33.52,0.00
1752519242,33.95,0.00
1752519602,32.89,0.00
1752519963,33.95,0.00
1752520323,33.82,0.00
1752520683,33.61,0.00
1752521042,33.59,0.00
1752521402,34.44,0.00
1752521762,34.00,0.00
1752522122,33.13,0.00
1752522483,33.97,0.00
1752522843,34.64,0.00
1752523203,34.20,0.00
1752523562,33.41,0.00
1752523922,34.09,0.00
1752524282,34.36,0.00
1752524642,33.82,0.00
1752525002,34.24,0.00
1752525363,34.64,0.00
1752525723,33.90,0.00
1752526082,34.29,0.00
1752526443,34.07,0.00
1752526803,33.80,0.00
1752527163,34.46,0.00
1752527522,33.53,0.00
1752527882,33.77,0.00
1752528242,34.20,0.00
1752528602,33.75,0.00
1752528963,33.35,0.00
1752529323,33.55,0.00
1752529683,32.84,0.00
1752530042,32.48,0.00
1752530402,32.28,0.00
1752530762,32.06,0.00
1752531123,32.08,0.00
1752531483,31.86,0.00
1752531843,31.54,0.00
1752532202,31.19,0.00
1752532562,31.20,0.00
1752532922,31.18,0.00
1752533282,31.05,0.00
1752533643,31.03,0.00
1752534003,31.17,0.00
1752534363,30.89,0.00
1752534722,30.74,0.00
1752535082,30.73,0.00
1752535442,30.36,0.00
1752535802,30.37,0.00
1752536162,30.35,0.00
1752536523,30.16,0.00
1752536883,29.91,0.00
