Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684806,0,0,3.86,56,0,0,2025-12-22 12:06:08
946684823,20.28,0,3.94,56,0,17,2025-12-22 12:06:25
946684843,20.57,0,3.94,56,0,37,2025-12-22 12:06:45
946684862,21.13,0,3.95,56,0,56,2025-12-22 12:07:04
946684882,21.25,0,3.95,56,0,76,2025-12-22 12:07:24
946684903,21.26,0,3.95,56,0,97,2025-12-22 12:07:45
946684923,21.26,0,3.95,56,0,117,2025-12-22 12:08:05
946684943,21.27,0,3.95,56,0,137,2025-12-22 12:08:25
946684962,21.27,0,3.95,56,0,156,2025-12-22 12:08:44
946684982,21.19,0,3.96,56.31,0,176,2025-12-22 12:09:04
946685002,21.34,0,3.96,56.31,0,196,2025-12-22 12:09:24
946685023,21.11,0,3.96,56.31,0,217,2025-12-22 12:09:45
946685043,21.43,0,3.96,56.31,0,237,2025-12-22 12:10:05
946685062,21.22,0,3.96,56.31,0,256,2025-12-22 12:10:24
946685082,21.18,0,3.96,56.31,0,276,2025-12-22 12:10:44
946685102,21.2,0,3.96,56.31,0,296,2025-12-22 12:11:04
946685123,21.28,0,3.96,56.31,0,317,2025-12-22 12:11:25
946685143,21.28,0,3.96,56.63,0,337,2025-12-22 12:11:45
946685162,21.27,0,3.97,56.63,0,356,2025-12-22 12:12:04
946685202,21.26,15540,3.97,56.63,0,396,2025-12-22 12:12:44
946685223,21.28,15630,3.97,56.63,0,417,2025-12-22 12:13:05
946685243,21.28,15660,3.97,56.63,0,437,2025-12-22 12:13:25
946685262,21.28,15660,3.97,56.63,0,456,2025-12-22 12:13:44
946685282,21.29,15660,3.97,56.95,0,476,2025-12-22 12:14:04
946685302,21.28,15670,3.97,56.95,0,496,2025-12-22 12:14:24
946685323,21.45,15670,3.97,56.95,0,517,2025-12-22 12:14:45
946685343,21.35,15670,3.97,56.95,0,537,2025-12-22 12:15:05
946685363,21.2,15670,3.97,56.95,0,557,2025-12-22 12:15:25
946685382,21.3,15670,3.98,56.95,0,576,2025-12-22 12:15:44
946685402,21.17,15670,3.98,56.95,0,596,2025-12-22 12:16:04
946685423,21.16,15670,3.98,57.26,0,617,2025-12-22 12:16:25
946685443,21.22,15670,3.98,57.26,0,637,2025-12-22 12:16:45
946685463,21.24,15670,3.98,57.26,0,657,2025-12-22 12:17:05
946685482,21.24,15670,3.98,57.26,0,676,2025-12-22 12:17:24
946685502,21.23,15670,3.98,57.26,0,696,2025-12-22 12:17:44
946685523,21.16,15650,3.98,57.26,0,717,2025-12-22 12:18:05
946685582,21.03,93540,3.98,57.58,0,776,2025-12-22 12:19:04
946685602,21.21,94280,3.98,57.58,0,796,2025-12-22 12:19:24
946685622,21.21,94420,3.99,57.58,0,816,2025-12-22 12:19:44
946685643,21.2,94390,3.99,57.58,0,837,2025-12-22 12:20:05
946685663,21.19,94610,3.99,57.58,0,857,2025-12-22 12:20:25
946685682,21.05,94510,3.99,57.89,0,876,2025-12-22 12:20:44
946685702,21.05,94580,3.99,57.89,0,896,2025-12-22 12:21:04
946685722,21.06,94550,3.99,57.89,0,916,2025-12-22 12:21:24
946685743,21.07,94460,3.99,57.89,0,937,2025-12-22 12:21:45
946685763,21.08,94490,3.99,57.89,0,957,2025-12-22 12:22:05
946685782,21.08,94590,3.99,57.89,0,976,2025-12-22 12:22:24
946685802,21.08,94480,3.99,58.21,0,996,2025-12-22 12:22:44
946685822,21.08,94470,3.99,58.21,0,1016,2025-12-22 12:23:04
946685843,20.94,94380,3.99,58.21,0,1037,2025-12-22 12:23:25
946685863,21.02,94440,3.99,58.21,0,1057,2025-12-22 12:23:45
946685882,21.02,94420,3.99,58.21,0,1076,2025-12-22 12:24:04
