cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,Cond_uScm-1_cal
0,2025-12-22 12:06:45,946684843,20.57,0,3.94,56,0,37,-189.8
0,2025-12-22 12:07:05,946684862,21.13,0,3.95,56,0,56,-189.8
0,2025-12-22 12:07:25,946684882,21.25,0,3.95,56,0,76,-189.8
0,2025-12-22 12:07:45,946684903,21.26,0,3.95,56,0,97,-189.8
0,2025-12-22 12:08:05,946684923,21.26,0,3.95,56,0,117,-189.8
0,2025-12-22 12:08:25,946684943,21.27,0,3.95,56,0,137,-189.8
0,2025-12-22 12:08:45,946684962,21.27,0,3.95,56,0,156,-189.8
0,2025-12-22 12:09:05,946684982,21.19,0,3.96,56.31,0,176,-189.8
0,2025-12-22 12:09:25,946685002,21.34,0,3.96,56.31,0,196,-189.8
0,2025-12-22 12:09:45,946685023,21.11,0,3.96,56.31,0,217,-189.8
0,2025-12-22 12:10:05,946685043,21.43,0,3.96,56.31,0,237,-189.8
0,2025-12-22 12:10:25,946685062,21.22,0,3.96,56.31,0,256,-189.8
0,2025-12-22 12:10:45,946685082,21.18,0,3.96,56.31,0,276,-189.8
0,2025-12-22 12:11:05,946685102,21.2,0,3.96,56.31,0,296,-189.8
0,2025-12-22 12:11:25,946685123,21.28,0,3.96,56.31,0,317,-189.8
0,2025-12-22 12:11:45,946685143,21.28,0,3.96,56.63,0,337,-189.8
0,2025-12-22 12:12:05,946685162,21.27,0,3.97,56.63,0,356,-189.8
0,2025-12-22 12:12:17,946685162,21.27,0,3.97,56.63,0,356,-189.8
12880,2025-12-22 12:12:41,946685202,21.26,15540,3.97,56.63,0,396,12242.2
12880,2025-12-22 12:13:01,946685223,21.28,15630,3.97,56.63,0,417,12314.2
12880,2025-12-22 12:13:21,946685243,21.28,15660,3.97,56.63,0,437,12338.2
12880,2025-12-22 12:13:41,946685262,21.28,15660,3.97,56.63,0,456,12338.2
12880,2025-12-22 12:14:01,946685282,21.29,15660,3.97,56.95,0,476,12338.2
12880,2025-12-22 12:14:21,946685302,21.28,15670,3.97,56.95,0,496,12346.2
12880,2025-12-22 12:14:41,946685323,21.45,15670,3.97,56.95,0,517,12346.2
12880,2025-12-22 12:15:01,946685343,21.35,15670,3.97,56.95,0,537,12346.2
12880,2025-12-22 12:15:21,946685363,21.2,15670,3.97,56.95,0,557,12346.2
12880,2025-12-22 12:15:41,946685382,21.3,15670,3.98,56.95,0,576,12346.2
12880,2025-12-22 12:16:01,946685402,21.17,15670,3.98,56.95,0,596,12346.2
12880,2025-12-22 12:16:21,946685423,21.16,15670,3.98,57.26,0,617,12346.2
12880,2025-12-22 12:16:41,946685443,21.22,15670,3.98,57.26,0,637,12346.2
12880,2025-12-22 12:17:01,946685463,21.24,15670,3.98,57.26,0,657,12346.2
12880,2025-12-22 12:17:21,946685482,21.24,15670,3.98,57.26,0,676,12346.2
12880,2025-12-22 12:17:41,946685502,21.23,15670,3.98,57.26,0,696,12346.2
12880,2025-12-22 12:18:01,946685523,21.16,15650,3.98,57.26,0,717,12330.2
12880,2025-12-22 12:18:15,946685523,21.16,15650,3.98,57.26,0,717,12330.2
80000,2025-12-22 12:18:54,946685582,21.03,93540,3.98,57.58,0,776,74642.2
80000,2025-12-22 12:19:14,946685582,21.03,93540,3.98,57.58,0,776,74642.2
80000,2025-12-22 12:19:34,946685602,21.21,94280,3.98,57.58,0,796,75234.2
80000,2025-12-22 12:19:54,946685622,21.21,94420,3.99,57.58,0,816,75346.2
80000,2025-12-22 12:20:14,946685643,21.2,94390,3.99,57.58,0,837,75322.2
80000,2025-12-22 12:20:34,946685663,21.19,94610,3.99,57.58,0,857,75498.2
80000,2025-12-22 12:20:54,946685682,21.05,94510,3.99,57.89,0,876,75418.2
80000,2025-12-22 12:21:14,946685702,21.05,94580,3.99,57.89,0,896,75474.2
80000,2025-12-22 12:21:34,946685722,21.06,94550,3.99,57.89,0,916,75450.2
80000,2025-12-22 12:21:54,946685743,21.07,94460,3.99,57.89,0,937,75378.2
80000,2025-12-22 12:22:14,946685763,21.08,94490,3.99,57.89,0,957,75402.2
80000,2025-12-22 12:22:34,946685782,21.08,94590,3.99,57.89,0,976,75482.2
80000,2025-12-22 12:22:54,946685802,21.08,94480,3.99,58.21,0,996,75394.2
80000,2025-12-22 12:23:14,946685822,21.08,94470,3.99,58.21,0,1016,75386.2
80000,2025-12-22 12:23:34,946685843,20.94,94380,3.99,58.21,0,1037,75314.2
80000,2025-12-22 12:23:54,946685863,21.02,94440,3.99,58.21,0,1057,75362.2
80000,2025-12-22 12:24:14,946685882,21.02,94420,3.99,58.21,0,1076,75346.2
80000,2025-12-22 12:24:26,946685882,21.02,94420,3.99,58.21,0,1076,75346.2
