cond_uscm,datetime
0,2026-07-22 15:00:45
0,2026-07-22 15:01:05
0,2026-07-22 15:01:25
0,2026-07-22 15:01:45
0,2026-07-22 15:02:05
0,2026-07-22 15:02:25
0,2026-07-22 15:02:45
0,2026-07-22 15:03:05
0,2026-07-22 15:03:25
0,2026-07-22 15:03:45
0,2026-07-22 15:04:05
0,2026-07-22 15:04:25
0,2026-07-22 15:04:45
0,2026-07-22 15:05:05
0,2026-07-22 15:05:25
0,2026-07-22 15:05:45
0,2026-07-22 15:06:00
12880,2026-07-22 15:06:45
12880,2026-07-22 15:07:05
12880,2026-07-22 15:07:25
12880,2026-07-22 15:07:45
12880,2026-07-22 15:08:05
12880,2026-07-22 15:08:25
12880,2026-07-22 15:08:45
12880,2026-07-22 15:09:05
12880,2026-07-22 15:09:25
12880,2026-07-22 15:09:45
12880,2026-07-22 15:10:05
12880,2026-07-22 15:10:25
12880,2026-07-22 15:10:45
12880,2026-07-22 15:11:05
12880,2026-07-22 15:11:25
12880,2026-07-22 15:11:45
12880,2026-07-22 15:12:05
12880,2026-07-22 15:12:25
12880,2026-07-22 15:12:45
12880,2026-07-22 15:13:05
12880,2026-07-22 15:13:25
12880,2026-07-22 15:13:45
12880,2026-07-22 15:14:00
80000,2026-07-22 15:18:20
80000,2026-07-22 15:18:40
80000,2026-07-22 15:19:00
80000,2026-07-22 15:19:20
80000,2026-07-22 15:19:40
80000,2026-07-22 15:20:00
80000,2026-07-22 15:20:20
80000,2026-07-22 15:20:40
80000,2026-07-22 15:21:00
80000,2026-07-22 15:21:20
80000,2026-07-22 15:21:40
80000,2026-07-22 15:22:00
80000,2026-07-22 15:22:20
80000,2026-07-22 15:22:40
80000,2026-07-22 15:23:00
80000,2026-07-22 15:23:20
80000,2026-07-22 15:23:40
80000,2026-07-22 15:24:00
