cond_uscm,datetime
0,2026-07-22 13:43:30
0,2026-07-22 13:43:50
0,2026-07-22 13:44:10
0,2026-07-22 13:44:30
0,2026-07-22 13:44:50
0,2026-07-22 13:45:10
0,2026-07-22 13:45:30
0,2026-07-22 13:45:50
0,2026-07-22 13:46:10
0,2026-07-22 13:46:30
0,2026-07-22 13:46:50
0,2026-07-22 13:47:10
0,2026-07-22 13:47:30
0,2026-07-22 13:47:50
0,2026-07-22 13:48:10
0,2026-07-22 13:48:30
0,2026-07-22 13:48:50
0,2026-07-22 13:49:00
12880,2026-07-22 13:50:25
12880,2026-07-22 13:50:45
12880,2026-07-22 13:51:05
12880,2026-07-22 13:51:25
12880,2026-07-22 13:51:45
12880,2026-07-22 13:52:05
12880,2026-07-22 13:52:25
12880,2026-07-22 13:52:45
12880,2026-07-22 13:53:05
12880,2026-07-22 13:53:25
12880,2026-07-22 13:53:45
12880,2026-07-22 13:54:05
12880,2026-07-22 13:54:25
12880,2026-07-22 13:54:45
12880,2026-07-22 13:55:05
12880,2026-07-22 13:55:25
12880,2026-07-22 13:55:45
12880,2026-07-22 13:56:05
12880,2026-07-22 13:56:25
12880,2026-07-22 13:56:45
12880,2026-07-22 13:57:05
12880,2026-07-22 13:57:25
12880,2026-07-22 13:57:45
12880,2026-07-22 13:58:00
80000,2026-07-22 13:59:28
80000,2026-07-22 13:59:48
80000,2026-07-22 14:00:08
80000,2026-07-22 14:00:28
80000,2026-07-22 14:00:48
80000,2026-07-22 14:01:08
80000,2026-07-22 14:01:28
80000,2026-07-22 14:01:48
80000,2026-07-22 14:02:08
80000,2026-07-22 14:02:28
80000,2026-07-22 14:02:48
80000,2026-07-22 14:03:08
80000,2026-07-22 14:03:28
80000,2026-07-22 14:03:48
80000,2026-07-22 14:04:08
80000,2026-07-22 14:04:28
80000,2026-07-22 14:04:48
80000,2026-07-22 14:05:00
