Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec,datetime
946684805,22.27,0,0.84,99.24,0,0,2026-07-22 13:35:10
946684823,22.4,0,0.05,97.82,0,18,2026-07-22 13:35:28
946684843,22.4,0,0.05,96.39,0,38,2026-07-22 13:35:48
946684862,22.4,0,0.05,94.81,0,57,2026-07-22 13:36:07
946684882,22.4,0,0.05,93.23,0,77,2026-07-22 13:36:27
946684902,22.4,0,0.05,91.8,0,97,2026-07-22 13:36:47
946684923,22.4,0,0.05,90.22,0,118,2026-07-22 13:37:08
946684943,22.4,0,0.05,88.64,0,138,2026-07-22 13:37:28
946684962,22.4,0,0.05,87.21,0,157,2026-07-22 13:37:47
946684982,22.4,0,0.05,85.77,0,177,2026-07-22 13:38:07
946685002,22.39,0,0.05,84.34,0,197,2026-07-22 13:38:27
946685023,22.39,0,0.05,82.7,0,218,2026-07-22 13:38:48
946685043,22.39,0,0.05,81.07,0,238,2026-07-22 13:39:08
946685063,22.4,0,0.05,79.77,0,258,2026-07-22 13:39:28
946685082,22.4,0,0.05,78.3,0,277,2026-07-22 13:39:47
946685102,22.4,0,0.05,76.83,0,297,2026-07-22 13:40:07
946685123,22.39,0,0.05,75.37,0,318,2026-07-22 13:40:28
946685143,22.39,0,0.05,73.89,0,338,2026-07-22 13:40:48
946685162,22.4,0,0.05,72.41,0,357,2026-07-22 13:41:07
946685182,22.41,0,0.05,70.94,0,377,2026-07-22 13:41:27
946685202,22.43,0,0.05,69.46,0,397,2026-07-22 13:41:47
946685223,22.44,0,0.05,68.02,0,418,2026-07-22 13:42:08
946685243,22.46,0,0.05,66.72,0,438,2026-07-22 13:42:28
946685262,22.48,0,0.05,65.28,0,457,2026-07-22 13:42:47
946685282,22.5,0,0.05,63.98,0,477,2026-07-22 13:43:07
946685302,22.65,0,0.05,62.53,0,497,2026-07-22 13:43:27
946685323,23.06,0,0.05,61.06,0,518,2026-07-22 13:43:48
946685343,23.08,0,0.05,59.79,0,538,2026-07-22 13:44:08
946685363,23.1,0,0.05,58.53,0,558,2026-07-22 13:44:28
946685382,23.13,0,0.05,56.95,0,577,2026-07-22 13:44:47
946685402,23.15,0,0.05,55.36,0,597,2026-07-22 13:45:07
946685423,23.17,0,0.05,54.1,0,618,2026-07-22 13:45:28
946685443,23.18,0,0.05,52.7,0,638,2026-07-22 13:45:48
946685463,23.19,0,0.05,51.16,0,658,2026-07-22 13:46:08
946685482,23.2,0,0.05,49.62,0,677,2026-07-22 13:46:27
946685502,23.21,0,0.05,48.09,0,697,2026-07-22 13:46:47
946685523,23.21,0,0.05,46.91,0,718,2026-07-22 13:47:08
946685543,23.21,0,0.05,45.28,0,738,2026-07-22 13:47:28
946685563,23.22,0,0.05,44.05,0,758,2026-07-22 13:47:48
946685582,23.22,0,0.05,42.41,0,777,2026-07-22 13:48:07
946685602,23.22,0,0.05,41.19,0,797,2026-07-22 13:48:27
946685623,23.22,0,0.05,39.75,0,818,2026-07-22 13:48:48
946685723,22.88,13620,0.05,32.55,0,918,2026-07-22 13:50:28
946685743,23.29,13670,0.05,30.83,0,938,2026-07-22 13:50:48
946685763,23.42,13750,0.05,29.54,0,958,2026-07-22 13:51:08
946685782,23.44,13760,0.05,28.25,0,977,2026-07-22 13:51:27
946685802,23.45,13760,0.05,26.54,0,997,2026-07-22 13:51:47
946685823,23.46,13770,0.05,25.25,0,1018,2026-07-22 13:52:08
946685843,23.64,13830,0.05,23.96,0,1038,2026-07-22 13:52:28
946685863,23.66,13830,0.05,22.67,0,1058,2026-07-22 13:52:48
946685882,23.68,13830,0.05,20.95,0,1077,2026-07-22 13:53:07
946685902,23.69,13830,0.05,19.57,0,1097,2026-07-22 13:53:27
946685923,23.69,13830,0.05,18.02,0,1118,2026-07-22 13:53:48
946685943,23.7,13830,0.05,16.73,0,1138,2026-07-22 13:54:08
946685963,23.69,13840,0.05,15.17,0,1158,2026-07-22 13:54:28
946685982,23.69,13840,0.05,13.88,0,1177,2026-07-22 13:54:47
946686002,23.68,13840,0.05,12.33,0,1197,2026-07-22 13:55:07
946686023,23.67,13840,0.05,11.03,0,1218,2026-07-22 13:55:28
946686043,23.67,13850,0.05,9.48,0,1238,2026-07-22 13:55:48
946686063,23.66,13840,0.05,8.21,0,1258,2026-07-22 13:56:08
946686082,23.65,13850,0.05,6.73,0,1277,2026-07-22 13:56:27
946686102,23.65,13850,0.05,5.4,0,1297,2026-07-22 13:56:47
946686122,23.64,13850,0.05,4.21,0,1317,2026-07-22 13:57:07
946686143,23.63,13850,0.05,2.94,0,1338,2026-07-22 13:57:28
946686163,23.63,13840,0.05,1.98,0,1358,2026-07-22 13:57:48
946686243,23.09,77120,0.05,0.02,0,1438,2026-07-22 13:59:08
946686263,23.08,78120,0.05,0,0,1458,2026-07-22 13:59:28
